Tempo (us) 	 Tensione (mv)
-47.838272	-0.203300
-47.830272	-0.374200
-47.822272	-0.374200
-47.814272	-0.276500
-47.806272	0.468100
-47.798272	-0.502300
-47.790272	-0.130000
-47.782272	0.144700
-47.774272	-0.001800
-47.766272	0.712300
-47.758272	-0.374200
-47.750272	-0.502300
-47.742272	-0.349700
-47.734272	-0.325300
-47.726272	0.120200
-47.718272	-0.374200
-47.710272	0.614600
-47.702272	-0.276500
-47.694272	-0.276500
-47.686272	0.120200
-47.678272	0.590200
-47.670272	-0.453500
-47.662272	-0.227700
-47.654272	0.266700
-47.646272	-0.154400
-47.638272	-0.276500
-47.630272	-0.624400
-47.622272	0.364400
-47.614272	-0.697700
-47.606272	0.071400
-47.598272	-0.105600
-47.590272	-0.844100
-47.582272	0.663500
-47.574272	-0.526800
-47.566272	-0.349700
-47.558272	-0.600000
-47.550272	-0.300900
-47.542272	-0.154400
-47.534272	-0.203300
-47.526272	-0.374200
-47.518272	0.340000
-47.510272	0.071400
-47.502272	-0.001800
-47.494272	0.663500
-47.486272	-1.344700
-47.478272	0.315600
-47.470272	-0.648800
-47.462272	0.388800
-47.454272	0.810000
-47.446272	-0.923500
-47.438272	-0.105600
-47.430272	-0.972300
-47.422272	-0.325300
-47.414272	-0.154400
-47.406272	-0.526800
-47.398272	-0.923500
-47.390272	0.340000
-47.382272	-0.600000
-47.374272	-0.300900
-47.366272	-0.526800
-47.358272	-0.203300
-47.350272	0.120200
-47.342272	0.144700
-47.334272	0.022600
-47.326272	0.120200
-47.318272	-1.192000
-47.310272	-0.349700
-47.302272	-0.056800
-47.294272	-0.032300
-47.286272	-0.203300
-47.278272	-0.081200
-47.270272	-0.300900
-47.262272	0.687900
-47.254272	-0.551200
-47.246272	0.388800
-47.238272	-0.423000
-47.230272	-0.453500
-47.222272	0.340000
-47.214272	-0.178800
-47.206272	-0.105600
-47.198272	-0.398600
-47.190272	0.169100
-47.182272	0.169100
-47.174272	0.047000
-47.166272	-0.056800
-47.158272	-0.081200
-47.150272	-0.673200
-47.142272	-0.056800
-47.134272	-0.252100
-47.126272	-0.502300
-47.118272	0.095800
-47.110272	-0.746500
-47.102272	-0.276500
-47.094272	-0.349700
-47.086272	-0.477900
-47.078272	-0.056800
-47.070272	-0.374200
-47.062272	-0.575600
-47.054272	-0.325300
-47.046272	-0.398600
-47.038272	-0.996700
