Tempo (us) 	 Tensione (mv)


-50.012276	0.864900
-50.004276	-0.496200
-49.996276	-0.819700
-49.988276	0.370500
-49.980276	-0.294800
-49.972276	0.272800
-49.964276	-0.667100
-49.956276	-0.593900
-49.948276	-0.123900
-49.940276	0.517000
-49.932276	-0.172700
-49.924276	0.022600
-49.916276	0.175200
-49.908276	0.071400
-49.900276	-0.398600
-49.892276	-0.374200
-49.884276	0.224000
-49.876276	-0.001800
-49.868276	-0.246000
-49.860276	-0.172700
-49.852276	0.517000
-49.844276	0.394900
-49.836276	-0.520600
-49.828276	-0.795300
-49.820276	0.224000
-49.812276	-0.099500
-49.804276	-0.294800
-49.796276	0.095800
-49.788276	-0.099500
-49.780276	-0.075100
-49.772276	-0.221600
-49.764276	0.199600
-49.756276	-0.349700
-49.748276	-0.319200
-49.740276	0.468100
-49.732276	0.394900
-49.724276	-0.270400
-49.716276	0.199600
-49.708276	-0.423000
-49.700276	-0.001800
-49.692276	-0.398600
-49.684276	-0.795300
-49.676276	1.017500
-49.668276	-0.667100
-49.660276	-0.172700
-49.652276	-0.618300
-49.644276	-0.740400
-49.636276	0.645200
-49.628276	0.224000
-49.620276	-0.593900
-49.612276	-0.099500
-49.604276	-0.349700
-49.596276	-0.221600
-49.588276	-0.423000
-49.580276	0.175200
-49.572276	-0.099500
-49.564276	-0.691600
-49.556276	-0.398600
-49.548276	0.297200
-49.540276	-0.691600
-49.532276	-0.423000
-49.524276	0.047000
-49.516276	-0.447400
-49.508276	0.816100
-49.500276	0.022600
-49.492276	0.126300
-49.484276	-0.349700
-49.476276	0.346100
-49.468276	-0.026200
-49.460276	-0.270400
-49.452276	-0.026200
-49.444276	0.468100
-49.436276	0.022600
-49.428276	-0.618300
-49.420276	0.095800
-49.412276	-0.246000
-49.404276	0.547500
-49.396276	0.742800
-49.388276	-0.990600
-49.380276	0.095800
-49.372276	0.297200
-49.364276	-0.618300
-49.356276	0.150800
-49.348276	0.297200
-49.340276	0.694000
-49.332276	-0.667100
-49.324276	0.272800
-49.316276	0.346100
-49.308276	-0.349700
-49.300276	-0.246000
-49.292276	0.047000
-49.284276	-0.075100
-49.276276	-0.423000
-49.268276	-0.319200
-49.260276	-0.770900
-49.252276	0.468100
-49.244276	-0.740400
-49.236276	-0.398600
-49.228276	0.095800
-49.220276	0.150800
-49.212276	-0.148300
-49.204276	-0.270400
-49.196276	0.199600
-49.188276	-0.270400
-49.180276	-0.148300
-49.172276	-0.966200
-49.164276	0.419300
-49.156276	0.022600
-49.148276	-0.545100
-49.140276	-0.545100
-49.132276	-0.294800
-49.124276	0.443700
-49.116276	-0.197100
-49.108276	-0.075100
-49.100276	-0.349700
-49.092276	-0.270400
-49.084276	-0.026200
-49.076276	0.022600
-49.068276	-0.221600
-49.060276	-0.221600
-49.052276	-0.447400
-49.044276	0.175200
-49.036276	0.150800
-49.028276	-0.716000
-49.020276	-1.192000
-49.012276	0.150800
-49.004276	0.150800
-48.996276	-0.423000
-48.988276	-0.246000
-48.980276	-0.123900
-48.972276	-0.270400
-48.964276	0.071400
-48.956276	-0.423000
-48.948276	-0.270400
-48.940276	-0.246000
-48.932276	0.346100
-48.924276	0.248400
