Tempo (us) 	 Tensione (mv)


-50.012821	0.126300
-50.004821	-0.050700
-49.996821	-0.496200
-49.988821	-0.294800
-49.980821	-0.447400
-49.972821	-0.349700
-49.964821	0.547500
-49.956821	-0.099500
-49.948821	-0.447400
-49.940821	0.175200
-49.932821	-0.471800
-49.924821	0.095800
-49.916821	0.517000
-49.908821	-0.148300
-49.900821	-0.569500
-49.892821	-0.075100
-49.884821	0.571900
-49.876821	-0.917400
-49.868821	-0.001800
-49.860821	-0.099500
-49.852821	0.443700
-49.844821	-0.270400
-49.836821	0.071400
-49.828821	0.443700
-49.820821	0.346100
-49.812821	0.468100
-49.804821	-0.319200
-49.796821	0.150800
-49.788821	-0.075100
-49.780821	-0.075100
-49.772821	0.346100
-49.764821	0.297200
-49.756821	-0.294800
-49.748821	-0.026200
-49.740821	0.370500
-49.732821	0.840500
-49.724821	0.150800
-49.716821	-0.740400
-49.708821	-0.545100
-49.700821	0.419300
-49.692821	0.126300
-49.684821	-0.099500
-49.676821	0.224000
-49.668821	0.419300
-49.660821	-0.398600
-49.652821	0.272800
-49.644821	0.095800
-49.636821	0.443700
-49.628821	-0.050700
-49.620821	0.071400
-49.612821	0.047000
-49.604821	0.047000
-49.596821	-0.471800
-49.588821	-0.172700
-49.580821	-0.123900
-49.572821	-0.001800
-49.564821	0.199600
-49.556821	-0.795300
-49.548821	0.095800
-49.540821	0.126300
-49.532821	-0.172700
-49.524821	0.248400
-49.516821	0.126300
-49.508821	0.022600
-49.500821	0.047000
-49.492821	-0.172700
-49.484821	0.297200
-49.476821	-0.246000
-49.468821	-0.294800
-49.460821	0.938100
-49.452821	0.272800
-49.444821	-0.172700
-49.436821	0.150800
-49.428821	-0.001800
-49.420821	0.071400
-49.412821	-0.691600
-49.404821	-0.398600
-49.396821	-0.569500
-49.388821	0.272800
-49.380821	0.047000
-49.372821	-0.026200
-49.364821	-0.398600
-49.356821	0.224000
-49.348821	-0.026200
-49.340821	1.188400
-49.332821	-0.270400
-49.324821	0.321700
-49.316821	-0.496200
-49.308821	0.321700
-49.300821	0.346100
-49.292821	-0.716000
-49.284821	0.443700
-49.276821	-0.221600
-49.268821	0.321700
-49.260821	0.816100
-49.252821	-0.246000
-49.244821	-0.001800
-49.236821	-0.001800
-49.228821	0.321700
-49.220821	0.517000
-49.212821	-0.001800
-49.204821	-0.246000
-49.196821	-0.099500
-49.188821	-0.197100
-49.180821	-0.075100
-49.172821	-0.471800
-49.164821	-0.246000
-49.156821	0.150800
-49.148821	-0.001800
-49.140821	0.071400
-49.132821	0.272800
-49.124821	-0.667100
-49.116821	0.297200
-49.108821	0.346100
-49.100821	0.095800
-49.092821	-0.819700
-49.084821	-0.270400
-49.076821	0.022600
-49.068821	0.297200
-49.060821	-1.338500
-49.052821	0.913700
-49.044821	0.370500
-49.036821	0.394900
-49.028821	-0.496200
-49.020821	-0.471800
-49.012821	0.492600
-49.004821	-0.001800
-48.996821	0.571900
-48.988821	-0.520600
-48.980821	-0.319200
-48.972821	0.150800
-48.964821	0.517000
-48.956821	0.022600
-48.948821	0.150800
-48.940821	0.071400
-48.932821	-0.593900
-48.924821	0.071400
-48.916821	-0.026200
