Tempo (us) 	 Tensione (mv)


-50.008568	0.144700
-50.000568	-0.252100
-49.992568	-0.056800
-49.984568	-0.770900
-49.976568	-0.770900
-49.968568	0.217900
-49.960568	-0.154400
-49.952568	-0.276500
-49.944568	-0.600000
-49.936568	-0.032300
-49.928568	0.663500
-49.920568	-1.240900
-49.912568	0.193500
-49.904568	0.071400
-49.896568	0.889300
-49.888568	-0.551200
-49.880568	0.364400
-49.872568	-0.325300
-49.864568	-0.551200
-49.856568	-0.325300
-49.848568	-0.624400
-49.840568	1.182300
-49.832568	-0.947900
-49.824568	0.022600
-49.816568	-0.130000
-49.808568	-0.001800
-49.800568	-0.770900
-49.792568	-1.442300
-49.784568	-0.423000
-49.776568	-0.154400
-49.768568	-0.770900
-49.760568	-0.105600
-49.752568	0.242300
-49.744568	0.193500
-49.736568	-0.502300
-49.728568	-0.130000
-49.720568	-0.276500
-49.712568	-0.001800
-49.704568	0.169100
-49.696568	-0.526800
-49.688568	0.388800
-49.680568	-0.844100
-49.672568	-0.398600
-49.664568	-0.648800
-49.656568	-0.227700
-49.648568	-0.398600
-49.640568	-0.624400
-49.632568	0.388800
-49.624568	0.217900
-49.616568	-0.130000
-49.608568	-0.349700
-49.600568	-0.227700
-49.592568	0.071400
-49.584568	0.291200
-49.576568	-0.600000
-49.568568	-0.795300
-49.560568	-0.502300
-49.552568	0.340000
-49.544568	-0.056800
-49.536568	-0.600000
-49.528568	-0.001800
-49.520568	-0.130000
-49.512568	0.144700
-49.504568	0.120200
-49.496568	-0.227700
-49.488568	-0.325300
-49.480568	-0.374200
-49.472568	-0.178800
-49.464568	0.266700
-49.456568	0.364400
-49.448568	0.413200
-49.440568	0.095800
-49.432568	-0.081200
-49.424568	0.144700
-49.416568	-0.178800
-49.408568	-0.154400
-49.400568	0.193500
-49.392568	-0.673200
-49.384568	-0.746500
-49.376568	-0.325300
-49.368568	-0.081200
-49.360568	0.242300
-49.352568	-0.154400
-49.344568	-0.673200
-49.336568	-0.477900
-49.328568	-0.276500
-49.320568	-0.227700
-49.312568	0.047000
-49.304568	-0.227700
-49.296568	-0.252100
-49.288568	0.242300
-49.280568	0.492600
-49.272568	-0.001800
-49.264568	-0.575600
-49.256568	0.095800
-49.248568	0.291200
-49.240568	0.492600
-49.232568	0.071400
-49.224568	-0.032300
-49.216568	0.095800
-49.208568	-0.276500
-49.200568	-0.105600
-49.192568	-0.575600
-49.184568	0.047000
-49.176568	0.315600
-49.168568	0.095800
-49.160568	-0.001800
-49.152568	-0.624400
-49.144568	-0.398600
-49.136568	0.315600
-49.128568	0.095800
-49.120568	-0.203300
-49.112568	-0.032300
-49.104568	-0.722100
-49.096568	0.565800
-49.088568	0.388800
-49.080568	-0.526800
-49.072568	-0.477900
-49.064568	-0.001800
-49.056568	-0.130000
-49.048568	-0.276500
-49.040568	-0.423000
-49.032568	0.071400
-49.024568	0.614600
-49.016568	-0.178800
-49.008568	0.169100
-49.000568	0.291200
-48.992568	0.169100
-48.984568	-0.227700
-48.976568	-0.423000
-48.968568	0.242300
-48.960568	-0.154400
-48.952568	-0.526800
-48.944568	-0.697700
-48.936568	0.217900
-48.928568	0.443700
