Tempo (us) 	 Tensione (mv)


-50.015528	-0.545100
-50.007528	-0.618300
-49.999528	-0.221600
-49.991528	0.199600
-49.983528	0.199600
-49.975528	-0.471800
-49.967528	0.095800
-49.959528	-0.197100
-49.951528	0.571900
-49.943528	0.199600
-49.935528	-0.172700
-49.927528	0.047000
-49.919528	0.272800
-49.911528	-0.246000
-49.903528	0.913700
-49.895528	-0.026200
-49.887528	-0.740400
-49.879528	0.224000
-49.871528	-0.221600
-49.863528	-0.294800
-49.855528	-0.075100
-49.847528	-0.294800
-49.839528	0.175200
-49.831528	-0.050700
-49.823528	-0.221600
-49.815528	-0.349700
-49.807528	0.022600
-49.799528	0.468100
-49.791528	-0.545100
-49.783528	0.095800
-49.775528	-0.270400
-49.767528	-0.349700
-49.759528	-0.197100
-49.751528	0.071400
-49.743528	-0.197100
-49.735528	-0.691600
-49.727528	-0.270400
-49.719528	0.126300
-49.711528	0.596300
-49.703528	-0.819700
-49.695528	0.370500
-49.687528	0.443700
-49.679528	-0.270400
-49.671528	0.150800
-49.663528	-0.917400
-49.655528	0.175200
-49.647528	-0.099500
-49.639528	-0.868600
-49.631528	-0.246000
-49.623528	-0.148300
-49.615528	0.150800
-49.607528	-0.172700
-49.599528	-0.569500
-49.591528	-0.099500
-49.583528	0.517000
-49.575528	-0.099500
-49.567528	-0.569500
-49.559528	-0.593900
-49.551528	0.718400
-49.543528	-0.001800
-49.535528	0.272800
-49.527528	0.071400
-49.519528	0.095800
-49.511528	0.370500
-49.503528	-0.447400
-49.495528	0.199600
-49.487528	0.095800
-49.479528	-0.246000
-49.471528	-0.423000
-49.463528	-0.197100
-49.455528	0.694000
-49.447528	-0.569500
-49.439528	-0.374200
-49.431528	-0.593900
-49.423528	0.150800
-49.415528	0.620700
-49.407528	-0.496200
-49.399528	-0.246000
-49.391528	-0.026200
-49.383528	0.419300
-49.375528	0.071400
-49.367528	0.272800
-49.359528	0.150800
-49.351528	-0.349700
-49.343528	0.047000
-49.335528	-0.172700
-49.327528	-0.270400
-49.319528	-0.001800
-49.311528	0.126300
-49.303528	0.224000
-49.295528	0.224000
-49.287528	0.175200
-49.279528	-0.246000
-49.271528	-0.294800
-49.263528	0.095800
-49.255528	-0.667100
-49.247528	0.022600
-49.239528	-0.423000
-49.231528	0.047000
-49.223528	-0.319200
-49.215528	0.095800
-49.207528	-0.050700
-49.199528	-0.246000
-49.191528	0.071400
-49.183528	0.224000
-49.175528	0.071400
-49.167528	0.321700
-49.159528	0.248400
-49.151528	0.022600
-49.143528	0.095800
-49.135528	-0.001800
-49.127528	-0.471800
-49.119528	-0.319200
-49.111528	0.938100
-49.103528	0.095800
-49.095528	-0.423000
-49.087528	-0.172700
-49.079528	0.443700
-49.071528	-0.026200
-49.063528	0.095800
-49.055528	-0.270400
-49.047528	-0.050700
-49.039528	-0.447400
-49.031528	0.022600
-49.023528	0.492600
-49.015528	-1.240900
-49.007528	-0.221600
-48.999528	-0.172700
-48.991528	-0.197100
-48.983528	-0.148300
-48.975528	-0.770900
-48.967528	-0.593900
-48.959528	0.272800
-48.951528	0.492600
-48.943528	0.321700
-48.935528	-0.423000
-48.927528	-0.221600
