Numero segnale      Lunghezza di plasma 
1     0.76616 
2     0.76554 
3     0.76589 
4     0.76616 
5     0.76631 
6     0.7665 
8     0.76629 
9     0.76659 
10     0.76559 
11     0.7667 
12     0.76548 
13     0.76614 
14     0.76627 
15     0.76643 
16     0.76669 
17     0.766 
18     0.76564 
19     0.76658 
20     0.76657 
21     0.76603 
22     0.76636 
23     0.76572 
24     0.76604 
25     0.76644 
26     0.76534 
27     0.76534 
28     0.76574 
29     0.76535 
30     0.76609 
31     0.76556 
32     0.76551 
33     0.76673 
34     0.76674 
35     0.76562 
36     0.76536 
37     0.76679 
38     0.76525 
39     0.76681 
42     0.76667 
43     0.76587 
45     0.76673 
46     0.76555 
47     0.76597 
48     0.76602 
49     0.76525 
50     0.76628 
51     0.7683 
52     0.76844 
53     0.76814 
56     0.76769 
57     0.76795 
58     0.76853 
59     0.76869 
60     0.76824 
61     0.76872 
62     0.76797 
