Numero segnale      Lunghezza di plasma 
2     0.77089 
3     0.7705 
4     0.77022 
6     0.76995 
8     0.76988 
9     0.76931 
11     0.77082 
12     0.76995 
13     0.76935 
14     0.77007 
15     0.77058 
16     0.76964 
19     0.76954 
20     0.77009 
21     0.77013 
22     0.76915 
23     0.7697 
24     0.76925 
25     0.76967 
26     0.77036 
27     0.76993 
28     0.76989 
29     0.76992 
30     0.76945 
31     0.7704 
32     0.77085 
34     0.76978 
35     0.76941 
36     0.77017 
37     0.76979 
38     0.77083 
39     0.77053 
40     0.76921 
41     0.7699 
42     0.7709 
45     0.76946 
46     0.77004 
47     0.77047 
48     0.77013 
49     0.76963 
50     0.76919 
