Tempo (us) 	 Tensione (mv)
-47.809199	-0.179449
-47.801199	0.092471
-47.793199	0.111087
-47.785199	-0.241096
-47.777199	0.049440
-47.769199	0.234687
-47.761199	-0.136112
-47.753199	-0.080569
-47.745199	-0.204169
-47.737199	-0.068056
-47.729199	-0.451369
-47.721199	0.006104
-47.713199	0.352184
-47.705199	0.043031
-47.697199	-0.568865
-47.689199	0.438551
-47.681199	-0.080569
-47.673199	0.006104
-47.665199	-0.284432
-47.657199	-0.210273
-47.649199	0.129704
-47.641199	0.240791
-47.633199	-0.204169
-47.625199	-0.154729
-47.617199	0.104984
-47.609199	-0.111393
-47.601199	0.055544
-47.593199	-0.043336
-47.585199	0.636616
-47.577199	-0.766625
-47.569199	-0.055849
-47.561199	-0.185553
-47.553199	-0.166936
-47.545199	-0.111393
-47.537199	-0.043336
-47.529199	0.432447
-47.521199	-0.333873
-47.513199	-0.130009
-47.505199	0.308847
-47.497199	0.302744
-47.489199	-0.636921
-47.481199	0.364391
-47.473199	-0.006409
-47.465199	0.234687
-47.457199	-0.352489
-47.449199	-0.198065
-47.441199	0.209967
-47.433199	-0.228889
-47.425199	-0.451369
-47.417199	0.216071
-47.409199	0.086367
-47.401199	0.123600
-47.393199	-0.272225
-47.385199	-0.148625
-47.377199	0.234687
-47.369199	-0.303049
-47.361199	-0.346385
-47.353199	0.308847
-47.345199	0.043031
-47.337199	0.092471
-47.329199	-0.166936
-47.321199	-0.037233
-47.313199	-0.204169
-47.305199	0.043031
-47.297199	-0.383313
-47.289199	-0.408032
-47.281199	-0.142216
-47.273199	0.160527
-47.265199	0.129704
-47.257199	0.012207
-47.249199	-0.234992
-47.241199	0.179144
-47.233199	0.055544
-47.225199	0.036927
-47.217199	-0.278329
-47.209199	-0.099185
-47.201199	-0.092776
-47.193199	-0.105289
-47.185199	0.148320
-47.177199	0.216071
-47.169199	0.061647
-47.161199	-0.389416
-47.153199	0.030824
-47.145199	0.160527
-47.137199	0.074160
-47.129199	-0.352489
-47.121199	-0.234992
-47.113199	0.036927
-47.105199	0.043031
-47.097199	-0.525529
-47.089199	-0.099185
-47.081199	0.222480
-47.073199	-0.303049
-47.065199	-0.179449
-47.057199	-0.198065
-47.049199	-0.296945
-47.041199	0.216071
-47.033199	0.166631
-47.025199	0.086367
-47.017199	-0.519425
-47.009199	-0.216376
-47.001199	-0.055849
-46.993199	-0.025025
-46.985199	-0.537736
-46.977199	-0.445265
-46.969199	0.067751
-46.961199	0.123600
-46.953199	0.173040
-46.945199	-0.043336
-46.937199	-0.160832
-46.929199	-0.383313
-46.921199	0.086367
-46.913199	0.265511
-46.905199	-0.204169
-46.897199	-0.105289
-46.889199	-0.741905
-46.881199	-0.136112
-46.873199	0.766320
-46.865199	-0.025025
-46.857199	-0.346385
-46.849199	-0.321665
-46.841199	0.531327
-46.833199	-0.185553
-46.825199	-0.371105
-46.817199	-0.284432
-46.809199	0.006104
-46.801199	-0.074465
-46.793199	0.000000
-46.785199	0.049440
-46.777199	-0.142216
-46.769199	0.173040
-46.761199	-0.476089
-46.753199	-0.290536
-46.745199	0.197760
-46.737199	0.216071
-46.729199	-0.834681
-46.721199	0.123600
-46.713199	0.809656
-46.705199	-0.476089
-46.697199	-0.754112
-46.689199	0.444960
-46.681199	0.104984
-46.673199	-1.032441
-46.665199	-0.778832
-46.657199	0.487991
-46.649199	0.049440
-46.641199	-0.550249
-46.633199	-0.130009
-46.625199	0.135807
-46.617199	-0.018616
-46.609199	-0.333873
-46.601199	-0.234992
-46.593199	-0.037233
-46.585199	0.209967
-46.577199	-0.636921
-46.569199	-0.191656
-46.561199	0.432447
-46.553199	-0.160832
-46.545199	-0.698569
-46.537199	-0.284432
-46.529199	0.537431
-46.521199	-0.012513
-46.513199	-0.519425
-46.505199	-0.296945
-46.497199	0.148320
-46.489199	0.228584
-46.481199	0.123600
-46.473199	-0.068056
-46.465199	0.123600
-46.457199	-0.130009
-46.449199	-0.482192
-46.441199	-0.296945
-46.433199	0.117191
-46.425199	-0.506912
-46.417199	-0.371105
-46.409199	0.061647
-46.401199	0.036927
-46.393199	-0.309152
-46.385199	-0.339976
-46.377199	-0.278329
-46.369199	0.080264
-46.361199	-0.253609
-46.353199	-0.241096
-46.345199	0.055544
-46.337199	0.346080
-46.329199	-0.111393
-46.321199	-0.222785
-46.313199	0.314951
-46.305199	-0.148625
-46.297199	0.092471
-46.289199	-0.105289
-46.281199	-0.210273
-46.273199	0.209967
-46.265199	-0.216376
-46.257199	-0.420545
-46.249199	-0.259713
-46.241199	0.401624
-46.233199	-0.358592
-46.225199	0.006104
-46.217199	0.092471
-46.209199	0.432447
-46.201199	-0.519425
-46.193199	-0.210273
-46.185199	0.123600
-46.177199	-0.111393
-46.169199	-0.179449
-46.161199	-0.333873
-46.153199	-0.049745
-46.145199	-0.049745
-46.137199	-0.284432
-46.129199	0.154424
-46.121199	-0.018616
-46.113199	0.098880
-46.105199	0.290231
-46.097199	-0.006409
-46.089199	-0.506912
-46.081199	-0.333873
-46.073199	0.036927
-46.065199	0.074160
-46.057199	0.123600
-46.049199	-0.265816
-46.041199	-0.105289
-46.033199	0.123600
-46.025199	0.302744
-46.017199	0.000000
-46.009199	-0.173345
-46.001199	-0.303049
-45.993199	-0.198065
-45.985199	-0.068056
-45.977199	0.092471
-45.969199	-0.309152
-45.961199	-0.414136
-45.953199	-0.136112
-45.945199	0.339671
-45.937199	0.074160
-45.929199	-0.346385
-45.921199	0.451064
-45.913199	-0.204169
-45.905199	0.166631
-45.897199	0.092471
-45.889199	-0.272225
-45.881199	-0.123905
-45.873199	0.141911
-45.865199	-0.494705
-45.857199	0.209967
-45.849199	-0.420545
-45.841199	0.154424
-45.833199	-0.377209
-45.825199	-0.204169
-45.817199	0.098880
-45.809199	-0.031129
-45.801199	-0.228889
-45.793199	0.030824
-45.785199	-0.025025
-45.777199	0.074160
-45.769199	0.308847
-45.761199	-0.333873
-45.753199	-0.259713
-45.745199	-0.092776
-45.737199	-0.234992
-45.729199	0.296640
-45.721199	0.179144
-45.713199	-0.210273
-45.705199	-0.234992
-45.697199	-0.550249
-45.689199	-0.160832
-45.681199	-0.241096
-45.673199	0.265511
-45.665199	0.216071
-45.657199	-0.884121
-45.649199	0.426344
-45.641199	-0.234992
-45.633199	0.302744
-45.625199	-0.265816
-45.617199	-0.352489
-45.609199	-0.568865
-45.601199	-0.358592
-45.593199	-0.228889
-45.585199	1.013520
-45.577199	-0.327769
-45.569199	-0.278329
-45.561199	0.259407
-45.553199	0.000000
-45.545199	0.006104
-45.537199	-0.574969
-45.529199	-0.395825
-45.521199	0.049440
-45.513199	-0.401929
-45.505199	-0.198065
-45.497199	-0.006409
-45.489199	-0.395825
-45.481199	0.290231
-45.473199	-0.290536
-45.465199	-0.204169
-45.457199	-0.173345
-45.449199	-0.643025
-45.441199	0.000000
-45.433199	0.080264
-45.425199	-0.086673
-45.417199	0.197760
-45.409199	-0.828272
-45.401199	-0.068056
-45.393199	0.055544
-45.385199	0.123600
-45.377199	0.222480
-45.369199	-0.160832
-45.361199	-0.272225
-45.353199	-0.049745
-45.345199	0.166631
-45.337199	-0.025025
-45.329199	-0.080569
-45.321199	-0.327769
-45.313199	0.234687
-45.305199	0.080264
-45.297199	0.049440
-45.289199	-0.012513
-45.281199	-0.315256
-45.273199	-0.265816
-45.265199	0.117191
-45.257199	0.067751
-45.249199	0.129704
-45.241199	-0.198065
-45.233199	-0.339976
-45.225199	-0.092776
-45.217199	0.191351
-45.209199	0.098880
-45.201199	-0.111393
-45.193199	-0.371105
-45.185199	-0.099185
-45.177199	-0.086673
-45.169199	-0.068056
-45.161199	-0.031129
-45.153199	0.036927
-45.145199	0.061647
-45.137199	-0.099185
-45.129199	0.012207
-45.121199	-0.296945
-45.113199	-0.179449
-45.105199	0.043031
-45.097199	-0.092776
-45.089199	-0.049745
-45.081199	0.074160
-45.073199	-0.099185
-45.065199	0.024720
-45.057199	-0.043336
-45.049199	-0.457472
-45.041199	0.129704
-45.033199	0.043031
-45.025199	-0.432752
-45.017199	0.098880
-45.009199	-0.241096
-45.001199	-0.043336
-44.993199	0.123600
-44.985199	-0.105289
-44.977199	0.092471
-44.969199	-0.377209
-44.961199	-0.130009
-44.953199	0.327464
-44.945199	-0.154729
-44.937199	-0.055849
-44.929199	-0.191656
-44.921199	0.006104
-44.913199	0.055544
-44.905199	0.376904
-44.897199	-0.346385
-44.889199	0.012207
-44.881199	-0.086673
-44.873199	0.562151
-44.865199	-0.210273
-44.857199	-0.031129
-44.849199	-0.228889
-44.841199	-0.482192
-44.833199	0.401624
-44.825199	0.166631
-44.817199	-0.754112
-44.809199	-0.612201
-44.801199	0.506607
-44.793199	-0.358592
-44.785199	-0.043336
-44.777199	0.376904
-44.769199	-0.191656
-44.761199	-0.185553
-44.753199	0.327464
-44.745199	0.308847
-44.737199	-0.544145
-44.729199	0.166631
-44.721199	0.407727
-44.713199	-0.513016
-44.705199	-0.117496
-44.697199	-0.117496
-44.689199	0.173040
-44.681199	-0.358592
-44.673199	0.111087
-44.665199	-0.043336
-44.657199	-0.105289
-44.649199	-0.247505
-44.641199	0.098880
-44.633199	0.216071
-44.625199	-0.210273
-44.617199	-0.265816
-44.609199	-0.092776
-44.601199	0.179144
-44.593199	-0.284432
-44.585199	-0.222785
-44.577199	-0.006409
-44.569199	-0.296945
-44.561199	0.302744
-44.553199	0.086367
-44.545199	-0.339976
-44.537199	-0.154729
-44.529199	-0.136112
-44.521199	-0.191656
-44.513199	0.074160
-44.505199	-0.457472
-44.497199	0.098880
-44.489199	0.024720
-44.481199	-0.247505
-44.473199	-0.284432
-44.465199	0.012207
-44.457199	-0.012513
-44.449199	0.086367
-44.441199	-0.173345
-44.433199	-0.049745
-44.425199	-0.049745
-44.417199	0.024720
-44.409199	0.451064
-44.401199	-0.049745
-44.393199	-0.043336
-44.385199	-0.049745
-44.377199	-0.204169
-44.369199	0.000000
-44.361199	-0.061953
-44.353199	0.104984
-44.345199	-0.043336
-44.337199	-0.568865
-44.329199	0.920743
-44.321199	0.117191
-44.313199	-0.234992
-44.305199	-0.846889
-44.297199	0.141911
-44.289199	0.154424
-44.281199	-0.513016
-44.273199	-0.123905
-44.265199	-0.037233
-44.257199	0.006104
-44.249199	0.185247
-44.241199	-0.519425
-44.233199	0.024720
-44.225199	-0.234992
-44.217199	-0.612201
-44.209199	-0.080569
-44.201199	-0.080569
-44.193199	-0.074465
-44.185199	0.000000
