Tempo (us) 	 Tensione (mv)


-50.012799	-0.333873
-50.004799	0.173040
-49.996799	-0.228889
-49.988799	0.179144
-49.980799	0.024720
-49.972799	-0.358592
-49.964799	-0.154729
-49.956799	0.074160
-49.948799	0.778527
-49.940799	-0.074465
-49.932799	-0.092776
-49.924799	-0.624409
-49.916799	0.000000
-49.908799	-0.408032
-49.900799	0.173040
-49.892799	-0.105289
-49.884799	-0.142216
-49.876799	0.135807
-49.868799	-0.049745
-49.860799	0.296640
-49.852799	-0.649129
-49.844799	-0.166936
-49.836799	-0.025025
-49.828799	0.401624
-49.820799	-0.117496
-49.812799	-0.562456
-49.804799	0.358287
-49.796799	-0.086673
-49.788799	-0.278329
-49.780799	-0.469985
-49.772799	-0.055849
-49.764799	-0.142216
-49.756799	0.067751
-49.748799	-0.358592
-49.740799	-0.222785
-49.732799	0.444960
-49.724799	-0.253609
-49.716799	0.278024
-49.708799	-0.012513
-49.700799	-0.049745
-49.692799	-0.395825
-49.684799	-0.043336
-49.676799	0.222480
-49.668799	-0.173345
-49.660799	-0.321665
-49.652799	-0.012513
-49.644799	-0.494705
-49.636799	0.092471
-49.628799	0.104984
-49.620799	-0.445265
-49.612799	0.000000
-49.604799	0.141911
-49.596799	0.135807
-49.588799	-0.025025
-49.580799	-0.210273
-49.572799	0.080264
-49.564799	0.092471
-49.556799	-0.265816
-49.548799	-0.179449
-49.540799	-0.061953
-49.532799	0.074160
-49.524799	-0.179449
-49.516799	-0.333873
-49.508799	-0.061953
-49.500799	0.154424
-49.492799	-0.148625
-49.484799	0.160527
-49.476799	-0.290536
-49.468799	-0.130009
-49.460799	0.074160
-49.452799	-0.092776
-49.444799	0.098880
-49.436799	-0.154729
-49.428799	-0.173345
-49.420799	0.012207
-49.412799	0.104984
-49.404799	-0.025025
-49.396799	-0.457472
-49.388799	-0.228889
-49.380799	-0.420545
-49.372799	0.086367
-49.364799	-0.068056
-49.356799	-0.031129
-49.348799	0.067751
-49.340799	-0.191656
-49.332799	0.327464
-49.324799	0.018311
-49.316799	-0.339976
-49.308799	-0.247505
-49.300799	-0.130009
-49.292799	-0.025025
-49.284799	0.111087
-49.276799	-0.377209
-49.268799	-0.061953
-49.260799	0.117191
-49.252799	-0.154729
-49.244799	0.209967
-49.236799	-0.130009
-49.228799	-0.426649
-49.220799	0.123600
-49.212799	-0.216376
-49.204799	-0.198065
-49.196799	0.080264
-49.188799	-0.204169
-49.180799	0.203864
-49.172799	0.012207
-49.164799	0.216071
-49.156799	-0.037233
-49.148799	-0.346385
-49.140799	-0.117496
-49.132799	0.259407
-49.124799	0.049440
-49.116799	-0.025025
-49.108799	-0.432752
-49.100799	-0.136112
-49.092799	-0.074465
-49.084799	-0.185553
-49.076799	-0.037233
-49.068799	0.074160
-49.060799	-0.068056
-49.052799	-0.204169
-49.044799	0.030824
-49.036799	-0.136112
-49.028799	-0.025025
-49.020799	-0.649129
-49.012799	0.104984
-49.004799	0.129704
-48.996799	-0.185553
-48.988799	-0.074465
-48.980799	-0.426649
-48.972799	0.074160
-48.964799	0.061647
-48.956799	-0.525529
-48.948799	0.055544
-48.940799	-0.043336
-48.932799	-0.086673
