Tempo (us) 	 Tensione (mv)


-50.011369	0.141911
-50.003369	-0.043336
-49.995369	-0.253609
-49.987369	-0.154729
-49.979369	-0.166936
-49.971369	0.593280
-49.963369	-0.315561
-49.955369	0.636616
-49.947369	0.067751
-49.939369	0.284127
-49.931369	-0.247505
-49.923369	0.006104
-49.915369	-0.080569
-49.907369	0.043031
-49.899369	-0.105289
-49.891369	0.611896
-49.883369	-0.166936
-49.875369	-0.173345
-49.867369	-0.099185
-49.859369	0.024720
-49.851369	0.055544
-49.843369	-0.179449
-49.835369	-0.105289
-49.827369	0.271920
-49.819369	-0.154729
-49.811369	0.135807
-49.803369	0.036927
-49.795369	-0.154729
-49.787369	0.408032
-49.779369	-0.266121
-49.771369	0.098880
-49.763369	0.259407
-49.755369	-0.327769
-49.747369	-0.074465
-49.739369	0.197760
-49.731369	0.271920
-49.723369	0.537736
-49.715369	-0.346385
-49.707369	0.599689
-49.699369	0.043031
-49.691369	0.061647
-49.683369	0.018311
-49.675369	0.061647
-49.667369	0.191656
-49.659369	-0.006409
-49.651369	0.055544
-49.643369	0.000000
-49.635369	0.339976
-49.627369	-0.457778
-49.619369	0.228584
-49.611369	0.327464
-49.603369	0.222480
-49.595369	-0.142216
-49.587369	-0.346385
-49.579369	0.649129
-49.571369	0.308847
-49.563369	-0.278329
-49.555369	-0.031129
-49.547369	-0.049745
-49.539369	0.185247
-49.531369	-0.049745
-49.523369	-0.253609
-49.515369	0.327464
-49.507369	-0.309152
-49.499369	0.135807
-49.491369	0.111087
-49.483369	0.092471
-49.475369	-0.025025
-49.467369	-0.111393
-49.459369	-0.136112
-49.451369	0.376904
-49.443369	0.166631
-49.435369	-0.513321
-49.427369	0.302744
-49.419369	-0.513321
-49.411369	0.766625
-49.403369	0.104984
-49.395369	0.049440
-49.387369	0.432752
-49.379369	-0.185553
-49.371369	0.482192
-49.363369	0.271920
-49.355369	-0.476089
-49.347369	0.339976
-49.339369	-0.160832
-49.331369	0.092471
-49.323369	0.012207
-49.315369	-0.303049
-49.307369	0.247200
-49.299369	-0.049745
-49.291369	-0.247505
-49.283369	0.370800
-49.275369	0.049440
-49.267369	-0.130009
-49.259369	-0.031129
-49.251369	-0.327769
-49.243369	0.129704
-49.235369	0.036927
-49.227369	0.111087
-49.219369	0.488296
-49.211369	-0.315561
-49.203369	-0.142216
-49.195369	0.209967
-49.187369	-0.204169
-49.179369	0.383313
-49.171369	-0.389721
-49.163369	-0.092776
-49.155369	-0.315561
-49.147369	0.092471
-49.139369	0.166631
-49.131369	0.655232
-49.123369	-0.327769
-49.115369	-0.309152
-49.107369	1.384625
-49.099369	-0.482498
-49.091369	-0.439161
-49.083369	0.024720
-49.075369	-0.080569
-49.067369	-0.346385
-49.059369	-0.216681
-49.051369	0.209967
-49.043369	-0.025025
-49.035369	0.135807
-49.027369	0.531632
-49.019369	0.457472
-49.011369	0.030824
-49.003369	-0.123905
-48.995369	0.141911
-48.987369	0.284127
-48.979369	0.098880
-48.971369	-0.748314
-48.963369	-0.006409
-48.955369	0.525224
-48.947369	0.624409
-48.939369	-0.643025
-48.931369	-0.117496
-48.923369	0.624409
-48.915369	0.197760
