Numero segnale     Temperatura valutata 
1    3.3992 
2    3.3508 
3    3.3491 
4    3.3628 
5    3.3572 
6    3.4236 
7    3.3586 
8    3.3299 
9    3.399 
10    3.3683 
11    3.3766 
12    3.3461 
13    3.3763 
14    3.3789 
15    3.3901 
16    3.3828 
17    3.4118 
18    3.3721 
19    3.3782 
20    3.3489 
