Tempo (us) 	 Tensione (mv)


-50.013806	-0.130000
-50.005806	-0.056800
-49.997806	-0.130000
-49.989806	0.266700
-49.981806	-0.423000
-49.973806	-0.551200
-49.965806	0.492600
-49.957806	0.095800
-49.949806	0.144700
-49.941806	-0.300900
-49.933806	-0.349700
-49.925806	0.364400
-49.917806	-0.526800
-49.909806	-0.551200
-49.901806	-0.374200
-49.893806	-0.453500
-49.885806	-0.374200
-49.877806	0.388800
-49.869806	-0.453500
-49.861806	-0.252100
-49.853806	-0.844100
-49.845806	0.071400
-49.837806	-0.227700
-49.829806	-0.154400
-49.821806	-0.551200
-49.813806	-0.477900
-49.805806	-0.423000
-49.797806	0.047000
-49.789806	-0.227700
-49.781806	-0.105600
-49.773806	-0.300900
-49.765806	-0.178800
-49.757806	-0.056800
-49.749806	0.315600
-49.741806	-0.673200
-49.733806	-0.300900
-49.725806	0.022600
-49.717806	-0.276500
-49.709806	-0.648800
-49.701806	-0.374200
-49.693806	-0.001800
-49.685806	-0.032300
-49.677806	-0.551200
-49.669806	0.047000
-49.661806	-0.178800
-49.653806	0.022600
-49.645806	-0.227700
-49.637806	-0.001800
-49.629806	-0.600000
-49.621806	-0.252100
-49.613806	0.095800
-49.605806	-0.453500
-49.597806	-0.374200
-49.589806	-0.648800
-49.581806	0.266700
-49.573806	-0.398600
-49.565806	0.217900
-49.557806	-1.289700
-49.549806	-0.477900
-49.541806	0.095800
-49.533806	0.095800
-49.525806	-0.325300
-49.517806	-0.325300
-49.509806	0.388800
-49.501806	-0.423000
-49.493806	-0.001800
-49.485806	-0.526800
-49.477806	-0.374200
-49.469806	-0.178800
-49.461806	-0.154400
-49.453806	-0.526800
-49.445806	-0.325300
-49.437806	-0.398600
-49.429806	0.095800
-49.421806	-0.398600
-49.413806	-0.081200
-49.405806	-0.624400
-49.397806	-0.453500
-49.389806	0.047000
-49.381806	-0.130000
-49.373806	-1.118800
-49.365806	-0.081200
-49.357806	-1.021100
-49.349806	0.340000
-49.341806	-0.526800
-49.333806	-0.453500
-49.325806	-0.154400
-49.317806	-0.105600
-49.309806	-0.056800
-49.301806	-0.178800
-49.293806	-0.001800
-49.285806	-0.770900
-49.277806	-0.819700
-49.269806	0.217900
-49.261806	0.810000
-49.253806	-0.300900
-49.245806	-0.947900
-49.237806	0.266700
-49.229806	0.144700
-49.221806	0.095800
-49.213806	-0.746500
-49.205806	-0.819700
-49.197806	0.120200
-49.189806	0.047000
-49.181806	-0.300900
-49.173806	-0.032300
-49.165806	-0.252100
-49.157806	-0.819700
-49.149806	0.193500
-49.141806	-0.154400
-49.133806	-0.551200
-49.125806	-0.575600
-49.117806	-0.526800
-49.109806	-0.600000
-49.101806	0.663500
-49.093806	-0.624400
-49.085806	0.242300
-49.077806	0.266700
-49.069806	-0.178800
-49.061806	-0.673200
-49.053806	-0.746500
-49.045806	0.340000
-49.037806	-0.081200
-49.029806	-1.613200
-49.021806	-0.130000
-49.013806	0.565800
-49.005806	-1.314100
-48.997806	-1.045600
-48.989806	0.242300
-48.981806	0.388800
-48.973806	-0.795300
-48.965806	-1.265300
-48.957806	0.687900
-48.949806	0.340000
-48.941806	-1.192000
