Tempo (us) 	 Tensione (mv)


-50.012149	-0.172700
-50.004149	-0.172700
-49.996149	0.297200
-49.988149	-0.123900
-49.980149	-0.123900
-49.972149	-0.374200
-49.964149	-0.844100
-49.956149	-0.642700
-49.948149	-0.471800
-49.940149	-0.001800
-49.932149	-0.569500
-49.924149	-0.197100
-49.916149	0.199600
-49.908149	-0.270400
-49.900149	-0.593900
-49.892149	-0.026200
-49.884149	-0.075100
-49.876149	-0.148300
-49.868149	-0.374200
-49.860149	-0.691600
-49.852149	0.022600
-49.844149	-0.398600
-49.836149	-0.593900
-49.828149	-0.447400
-49.820149	0.517000
-49.812149	-0.893000
-49.804149	-0.099500
-49.796149	-1.216500
-49.788149	-0.075100
-49.780149	0.571900
-49.772149	-0.496200
-49.764149	0.224000
-49.756149	-0.148300
-49.748149	-0.374200
-49.740149	-0.770900
-49.732149	0.669600
-49.724149	-0.691600
-49.716149	0.047000
-49.708149	-0.246000
-49.700149	0.571900
-49.692149	0.022600
-49.684149	-0.075100
-49.676149	-0.270400
-49.668149	0.022600
-49.660149	-0.770900
-49.652149	-0.447400
-49.644149	0.071400
-49.636149	-0.941800
-49.628149	-0.270400
-49.620149	-0.001800
-49.612149	0.224000
-49.604149	-0.618300
-49.596149	-0.990600
-49.588149	0.071400
-49.580149	-0.667100
-49.572149	-0.844100
-49.564149	0.443700
-49.556149	-0.197100
-49.548149	0.694000
-49.540149	-1.759700
-49.532149	0.547500
-49.524149	-0.270400
-49.516149	-0.618300
-49.508149	-0.716000
-49.500149	-0.569500
-49.492149	1.017500
-49.484149	-0.099500
-49.476149	-1.112700
-49.468149	0.419300
-49.460149	0.394900
-49.452149	-1.533900
-49.444149	-0.917400
-49.436149	-0.349700
-49.428149	-0.172700
-49.420149	-0.520600
-49.412149	-0.471800
-49.404149	0.175200
-49.396149	-0.099500
-49.388149	-0.001800
-49.380149	-0.569500
-49.372149	-0.917400
-49.364149	0.047000
-49.356149	-0.148300
-49.348149	-0.716000
-49.340149	-0.026200
-49.332149	-0.050700
-49.324149	-0.423000
-49.316149	-0.349700
-49.308149	-0.447400
-49.300149	0.126300
-49.292149	-0.221600
-49.284149	-0.868600
-49.276149	0.175200
-49.268149	0.297200
-49.260149	-0.197100
-49.252149	0.022600
-49.244149	-0.716000
-49.236149	-0.447400
-49.228149	-0.447400
-49.220149	-0.026200
-49.212149	-0.075100
-49.204149	-0.545100
-49.196149	-0.075100
-49.188149	0.297200
-49.180149	-0.844100
-49.172149	0.047000
-49.164149	-0.795300
-49.156149	-0.221600
-49.148149	-0.050700
-49.140149	-0.246000
-49.132149	-0.868600
-49.124149	-0.148300
-49.116149	-0.716000
-49.108149	0.517000
-49.100149	-0.667100
-49.092149	0.095800
-49.084149	-0.197100
-49.076149	-0.447400
-49.068149	-0.197100
-49.060149	-0.374200
-49.052149	-0.374200
-49.044149	-0.349700
-49.036149	-0.374200
-49.028149	-0.099500
-49.020149	-0.447400
-49.012149	-0.716000
-49.004149	0.022600
-48.996149	-0.172700
-48.988149	0.150800
-48.980149	-0.496200
-48.972149	0.095800
-48.964149	0.297200
-48.956149	-0.075100
-48.948149	-0.294800
-48.940149	-0.148300
