Tempo (us) 	 Tensione (mv)
-47.838251	0.248400
-47.830251	-0.423000
-47.822251	0.071400
-47.814251	0.346100
-47.806251	-0.001800
-47.798251	-0.398600
-47.790251	0.840500
-47.782251	-0.294800
-47.774251	-0.246000
-47.766251	-0.001800
-47.758251	-0.520600
-47.750251	-0.349700
-47.742251	-0.197100
-47.734251	-0.197100
-47.726251	-0.520600
-47.718251	0.047000
-47.710251	0.321700
-47.702251	0.394900
-47.694251	0.047000
-47.686251	-0.246000
-47.678251	-0.050700
-47.670251	-0.447400
-47.662251	0.071400
-47.654251	0.071400
-47.646251	-0.026200
-47.638251	-0.294800
-47.630251	-0.294800
-47.622251	0.175200
-47.614251	0.047000
-47.606251	-0.075100
-47.598251	0.297200
-47.590251	-0.294800
-47.582251	0.199600
-47.574251	0.150800
-47.566251	0.175200
-47.558251	-0.026200
-47.550251	-0.770900
-47.542251	-0.221600
-47.534251	0.047000
-47.526251	-0.270400
-47.518251	0.224000
-47.510251	-0.319200
-47.502251	-0.221600
-47.494251	0.175200
-47.486251	0.346100
-47.478251	-0.123900
-47.470251	-0.447400
-47.462251	-0.172700
-47.454251	-0.471800
-47.446251	-0.001800
-47.438251	-0.349700
-47.430251	-0.349700
-47.422251	-0.246000
-47.414251	-0.569500
-47.406251	-0.221600
-47.398251	-0.099500
-47.390251	-0.050700
-47.382251	-0.246000
-47.374251	-0.026200
-47.366251	0.095800
-47.358251	0.071400
-47.350251	-0.374200
-47.342251	-0.075100
-47.334251	0.022600
-47.326251	-0.246000
-47.318251	-0.593900
-47.310251	-0.447400
-47.302251	0.175200
-47.294251	0.370500
-47.286251	-0.569500
-47.278251	-0.349700
-47.270251	-0.026200
-47.262251	-0.294800
-47.254251	0.047000
-47.246251	-0.099500
-47.238251	-0.520600
-47.230251	-0.471800
-47.222251	0.443700
-47.214251	-0.123900
-47.206251	0.095800
-47.198251	-0.374200
-47.190251	0.224000
-47.182251	0.047000
-47.174251	-0.349700
-47.166251	-0.398600
-47.158251	-0.319200
-47.150251	-0.172700
-47.142251	-0.618300
-47.134251	-0.270400
-47.126251	-0.148300
-47.118251	-0.319200
-47.110251	-0.197100
-47.102251	-0.374200
-47.094251	0.864900
-47.086251	-0.123900
-47.078251	-0.221600
-47.070251	-0.520600
-47.062251	0.297200
-47.054251	-0.319200
-47.046251	-0.471800
-47.038251	0.047000
-47.030251	-0.026200
-47.022251	0.596300
-47.014251	-1.039500
-47.006251	-0.642700
-46.998251	-0.374200
-46.990251	-0.099500
-46.982251	0.272800
-46.974251	-0.075100
-46.966251	-0.471800
-46.958251	-0.545100
-46.950251	-0.172700
-46.942251	0.272800
-46.934251	0.620700
-46.926251	-0.691600
-46.918251	0.248400
-46.910251	-0.618300
-46.902251	1.188400
-46.894251	-0.496200
-46.886251	-0.349700
-46.878251	-0.001800
-46.870251	-0.221600
-46.862251	0.199600
-46.854251	-0.496200
-46.846251	-0.148300
-46.838251	0.321700
-46.830251	-0.246000
-46.822251	0.248400
-46.814251	0.022600
-46.806251	-0.374200
-46.798251	-0.496200
-46.790251	-0.349700
-46.782251	-0.050700
-46.774251	-0.050700
-46.766251	-0.471800
-46.758251	-0.197100
-46.750251	-0.026200
-46.742251	-0.471800
-46.734251	-0.221600
-46.726251	-0.294800
-46.718251	-0.148300
-46.710251	0.071400
-46.702251	-0.123900
-46.694251	0.419300
-46.686251	-0.691600
-46.678251	-0.050700
-46.670251	0.492600
-46.662251	-0.496200
-46.654251	-0.642700
