Nu1     A1      Nu3     A3 
17398.3019    1466.2847     52344.8911    2.9973      
17598.2824    1387.1392     52844.8423    2.8629      
17398.3019    1477.5663     52344.8911    3.3692      
17498.2922    1523.3177     52594.8667    2.3373      
17448.297    1178.1638     52344.8911    2.8976      
17448.297    1334.0991     52394.8863    4.1356      
17598.2824    1574.3124     52894.8375    2.4264      
17248.3166    1307.8611     51894.9351    4.2544      
17548.2873    1566.3279     52744.8521    2.5544      
17498.2922    1535.0294     52594.8667    2.3211      
17248.3166    1345.0701     51894.9351    3.7289      
17498.2922    1396.5014     52544.8716    3.7324      
17048.3361    1259.1252     51294.9936    4.2989      
17098.3312    1637.9329     51394.9838    4.242      
17098.3312    1204.3802     51494.9741    3.8338      
17648.2775    1429.7259     52994.8277    2.079      
17398.3019    1401.5968     52344.8911    3.1669      
17348.3068    1347.9801     52194.9058    3.0359      
17448.297    1542.8229     52494.8765    2.8643      
17398.3019    1223.5943     52144.9107    2.8267      
17398.3019    1313.7168     52294.896    3.3138      
17398.3019    1656.0359     52294.896    3.3876      
