Nu1     A1      Nu3     A3 
17867.9055    1743.4628     53770.3947    10.7026      
17834.5699    1920.1197     53703.7235    11.2383      
17601.2204    1862.8664     53370.367    11.6919      
17834.5699    1802.1075     53670.3878    13.7887      
17734.5629    1792.0187     53437.0383    13.3314      
17667.8916    1839.1435     53170.3531    14.2905      
17867.9055    1763.3626     53703.7235    11.3881      
17734.5629    1955.8121     53337.0314    10.52      
17767.8986    1765.7964     53403.7027    11.8926      
17834.5699    1878.301     53603.7165    9.6292      
17734.5629    1727.9086     53303.6957    12.1515      
17798.2629    1906.9018     53561.4391    11.6826      
17834.5699    1810.5599     53670.3878    11.2035      
17667.8916    1851.6625     53637.0522    10.9955      
17801.2342    1938.3232     53603.7165    11.241      
17701.2273    1882.581     53737.0591    12.806      
17867.9055    1744.8956     53703.7235    11.1126      
17801.2342    1764.9296     53570.3809    13.1602      
17867.9055    1818.9587     53803.7304    9.6308      
