Nu1       Nu3     Offset 
17298.3117    51994.9253    0.037516 
17598.2824    52894.8375    0.035863 
17198.3214    51594.9643    0.041948 
17498.2922    47495.3645    0.04442 
17498.2922    52494.8765    0.051967 
17398.3019    47495.3645    0.040481 
17398.3019    52294.896    0.043917 
17398.3019    47695.3449    0.054206 
