Omega 1       Omega3     Offset 
1.75e+04    4.75e+04    0.004774 
1.7e+04    4.8e+04    0.0026881 
1.7e+04    4.1e+04    0.0075235 
1.7e+04    4.1e+04    0.0031758 
1.75e+04    4.25e+04    0.0054014 
1.75e+04    4.8e+04    0.002255 
1.7e+04    4.8e+04    0.0035099 
1.75e+04    4.8e+04    0.0061932 
