Nu1       Nu3     Offset 
17332.5014    47775.4846    0.085269 
17221.3956    47553.273    0.079885 
17221.3956    47664.3788    0.076565 
17221.3956    47664.3788    0.081958 
17221.3956    47553.273    0.079286 
17221.3956    47664.3788    0.088393 
17221.3956    47664.3788    0.072451 
16999.184    47664.3788    0.073794 
17221.3956    47553.273    0.081282 
