Nu1       Nu3     Offset 
17398.3019    52394.8863    0.061923 
17498.2922    52494.8765    0.071287 
17298.3117    52094.9155    0.064809 
17398.3019    52394.8863    0.060848 
17398.3019    52194.9058    0.06255 
17498.2922    52494.8765    0.055401 
17098.3312    51294.9936    0.079769 
17598.2824    52894.8375    0.04521 
17498.2922    52694.857    0.065023 
17498.2922    52494.8765    0.058715 
17498.2922    52494.8765    0.070635 
17498.2922    52694.857    0.06624 
17498.2922    52494.8765    0.064469 
17498.2922    52694.857    0.056814 
17498.2922    52494.8765    0.076794 
17498.2922    52494.8765    0.049388 
17498.2922    52694.857    0.065483 
17598.2824    52894.8375    0.053335 
17498.2922    52794.8472    0.058701 
17498.2922    52594.8667    0.049227 
17498.2922    52494.8765    0.056508 
17498.2922    52694.857    0.067275 
17498.2922    52494.8765    0.058814 
17598.2824    52994.8277    0.067816 
17598.2824    52894.8375    0.050636 
17598.2824    52894.8375    0.054134 
17298.3117    51994.9253    0.059564 
17398.3019    52394.8863    0.054945 
17598.2824    52794.8472    0.06403 
17598.2824    52894.8375    0.054438 
17198.3214    51694.9546    0.057456 
17398.3019    52394.8863    0.071041 
17198.3214    51694.9546    0.055132 
17498.2922    52694.857    0.064104 
17298.3117    51994.9253    0.056521 
17498.2922    52694.857    0.053152 
17498.2922    52694.857    0.055163 
17098.3312    51494.9741    0.068598 
17598.2824    53094.8179    0.057861 
17198.3214    51594.9643    0.064093 
17598.2824    52994.8277    0.053607 
17498.2922    52494.8765    0.069645 
17598.2824    52794.8472    0.055793 
17498.2922    52694.857    0.049894 
17398.3019    52294.896    0.055374 
17498.2922    52594.8667    0.058874 
17398.3019    52394.8863    0.050791 
17498.2922    52494.8765    0.073173 
17598.2824    52894.8375    0.053713 
17398.3019    52394.8863    0.068994 
17598.2824    52894.8375    0.053485 
17398.3019    52394.8863    0.055571 
17398.3019    52194.9058    0.065904 
17398.3019    52394.8863    0.067329 
17598.2824    52794.8472    0.073082 
17498.2922    52394.8863    0.061543 
