Omega 1       Omega3     Offset 
1.7e+04    4.1e+04    0.07594 
1.7e+04    4.2e+04    0.082847 
1.7e+04    4.1e+04    0.087808 
1.75e+04    4.2e+04    0.09129 
1.75e+04    4.2e+04    0.1093 
1.75e+04    4.25e+04    0.071917 
1.75e+04    4.2e+04    0.083996 
1.75e+04    4.25e+04    0.078397 
1.75e+04    4.35e+04    0.070628 
1.7e+04    4.15e+04    0.062852 
1.75e+04    4.2e+04    0.11461 
1.7e+04    4.1e+04    0.06951 
1.75e+04    4.2e+04    0.10972 
1.75e+04    4.8e+04    0.093478 
1.75e+04    4.25e+04    0.082325 
1.7e+04    4.1e+04    0.090459 
1.7e+04    4.8e+04    0.047883 
1.75e+04    5.3e+04    0.050102 
1.7e+04    4.1e+04    0.095661 
1.7e+04    4.1e+04    0.10196 
1.75e+04    4.2e+04    0.11253 
1.75e+04    4.2e+04    0.076028 
1.7e+04    4.1e+04    0.084562 
1.75e+04    4.2e+04    0.068799 
1.75e+04    4.2e+04    0.073384 
1.7e+04    4.1e+04    0.11374 
1.75e+04    4.2e+04    0.07443 
1.75e+04    4.2e+04    0.11662 
1.75e+04    4.2e+04    0.1193 
1.75e+04    4.2e+04    0.068085 
1.75e+04    4.8e+04    0.051382 
1.75e+04    4.25e+04    0.080907 
1.75e+04    4.25e+04    0.051541 
