Omega 1       Omega3     Offset 
1.75e+04    4.2e+04    0.0019137 
1.75e+04    4.25e+04    0.0017214 
1.75e+04    4.85e+04    0.0013053 
1.7e+04    4.1e+04    0.00081803 
1.75e+04    4.2e+04    0.0044931 
1.75e+04    4.8e+04    0.0027669 
1.75e+04    4.25e+04    0.003034 
1.75e+04    4.8e+04    0.0034675 
1.75e+04    4.5e+04    0.001493 
