Omega 1       Omega3     Offset 
1.73e+04    4.77e+04    0.0013883 
1.73e+04    4.77e+04    0.0013277 
1.73e+04    4.77e+04    0.0021814 
1.73e+04    4.2e+04    0.0030114 
1.73e+04    4.77e+04    0.0017105 
1.73e+04    4.77e+04    0.0049427 
1.7e+04    4.8e+04    0.0033601 
1.73e+04    4.77e+04    0.0013351 
1.73e+04    4.77e+04    0.0023619 
1.7e+04    4.77e+04    0.0016254 
1.73e+04    4.17e+04    0.0014117 
