Omega 1       Omega3     Offset 
4.38e+04    1.34e+05    0.005348 
4.5e+04    1.34e+05    0.0039271 
4.38e+04    1.34e+05    0.0038451 
4.5e+04    1.36e+05    0.002673 
4.38e+04    1.05e+05    0.0045232 
4.5e+04    1.36e+05    0.002523 
4.5e+04    1.35e+05    0.0047062 
4.38e+04    1.34e+05    0.0061053 
4.38e+04    1.32e+05    0.0040632 
4.38e+04    1.34e+05    0.002943 
