#_serie    Offset 
3    0.0028047 
3    0.0028398 
3    0.0031287 
3    0.0021082 
3    0.0033732 
3    0.0042535 
3    0.0021216 
3    0.004451 
3    0.0022428 
3    0.0020776 
3    0.0037933 
3    0.0036707 
3    0.0046548 
3    0.0035326 
3    0.0043457 
3    0.0020027 
3    0.0031002 
3    0.0030873 
3    0.0025496 
3    0.0031642 
3    0.0034595 
3    0.0028055 
