Coordinata x       Coordinata y     Offset 
-9.8541    40.4923    41.6741 
17.6516    -42.286    45.8223 
44.2181    -8.1115    44.9559 
-43.2199    -10.1822    44.4031 
38.1526    -23.8544    44.9961 
26.2341    32.1073    41.4621 
37.629    -21.8775    43.5266 
-4.325    43.3877    43.6027 
-45.1104    0.68515    45.1156 
-43.8576    -7.4229    44.4813 
-26.7735    33.2704    42.7053 
-31.9018    27.5226    42.1334 
39.7051    25.0694    46.9571 
-16.4497    43.4778    46.4856 
7.6363    43.6805    44.343 
-41.9553    -6.2612    42.4199 
-5.4911    41.0124    41.3784 
-37.0986    19.0103    41.6857 
38.5643    16.4171    41.9134 
41.436    -8.2157    42.2426 
32.4589    -32.9811    46.2746 
44.1599    1.5011    44.1854 
