Coordinata x       Coordinata y     Offset 
16.9302    -20.3494    26.4713 
-23.8889    4.2952    24.2719 
-24.6673    -4.5796    25.0888 
14.6732    19.1144    24.0969 
17.8385    -18.813    25.9257 
23.6606    10.0511    25.707 
-11.247    19.0182    22.095 
-15.4284    21.3058    26.3053 
4.5459    21.5603    22.0343 
22.3411    8.5142    23.9085 
21.6498    -4.6844    22.1508 
22.1833    0.56838    22.1905 
-25.0544    6.3214    25.8396 
-26.1839    -3.6794    26.4412 
-21.7259    15.0951    26.4552 
21.8082    -5.0541    22.3862 
-10.829    23.8968    26.2359 
