Coordinata x       Coordinata y     Coordinata z 
579    420    88.3912 
653    425    87.2353 
654    441    74.0608 
691    518    80.604 
679    537    75.591 
540    541    81.8841 
630    418    85.9069 
690    501    78.0064 
543    518    70.8308 
654    566    76.5506 
556    432    89.6437 
642    567    71.5891 
537    532    80.7775 
667    447    77.7817 
670    459    72.2011 
562    556    73.5935 
613    578    76.0066 
540    542    82.365 
604    575    73.437 
639    428    78.7718 
679    519    69.1231 
685    491    73.8241 
693    490    81.8841 
533    524    82.0061 
643    427    81.1542 
560    417    99.6444 
653    567    76.8505 
547    543    76.8505 
683    456    84.5991 
525    508    87.2067 
563    431    86.267 
558    441    81.4678 
555    554    77.1557 
686    503    74.0068 
604    405    97.3293 
612    564    62 
685    515    74.1485 
547    457    79.0569 
667    445    79.2086 
621    577    75.5381 
564    554    70.7672 
