Coordinata x       Coordinata y     Coordinata z 
592    510    21.5407 
634    484    28.4253 
620    474    29.1204 
627    484    23.4307 
586    508    26.6833 
634    500    22.0907 
584    504    28.0713 
614    518    16.1245 
613    520    18.0278 
602    462    41.2311 
579    486    36.6742 
591    516    25.2389 
636    490    26.8328 
627    484    23.4307 
610    523    21.095 
605    523    22.1359 
613    524    22.0227 
635    495    24.0416 
623    515    17.0294 
619    522    21.1896 
636    506    24.3311 
583    490    31.3847 
614    478    24.0832 
622    514    15.6205 
614    517    15.1327 
582    506    30.2655 
588    484    30 
586    490    28.6356 
638    495    26.9258 
629    520    24.7588 
613    479    23.0217 
617    517    15.8114 
579    497    33.3766 
