Numero segnale     Temperatura valutata 
1    3.3923 
2    3.3514 
3    3.345 
4    3.3638 
5    3.354 
6    3.4332 
7    3.3574 
8    3.3281 
9    3.3955 
10    3.3646 
11    3.3746 
12    3.3425 
13    3.3767 
14    3.3797 
15    3.3845 
16    3.3749 
17    3.4056 
18    3.3678 
19    3.3687 
20    3.3409 
