Tempo	Canale A
(ms)	(V)

-5.00006383	-0.01617481
-4.99995983	0.01052889
-4.99985583	0.00244148
-4.99975183	0.02471999
-4.99964783	0.00427259
-4.99954383	0.00671407
-4.99943983	-0.01815851
-4.99933583	0.02227851
-4.99923183	0.01419111
-4.99912783	0.00427259
-4.99902383	0.00366222
-4.99891983	0.01739555
-4.99881583	0.02105777
-4.99871183	0.02288888
-4.99860783	0.01541185
-4.99850383	0.01983703
-4.99839983	0.00488296
-4.99829583	0.00732444
-4.99819183	0.00549333
-4.99808783	0.01541185
-4.99798383	0.01052889
-4.99787983	0.00610370
-4.99777583	0.02914518
-4.99767183	0.02853481
-4.99756783	0.02975555
-4.99746383	0.01236000
-4.99735983	0.02288888
-4.99725583	0.00366222
-4.99715183	0.00732444
-4.99704783	0.01113926
-4.99694383	-0.01434370
-4.99683983	0.01419111
-4.99673583	0.00061037
-4.99663183	0.02044740
-4.99652783	0.00366222
-4.99642383	0.00305185
-4.99631983	0.01419111
-4.99621583	0.02349925
-4.99611183	0.02410962
-4.99600783	0.00869778
-4.99590383	0.01113926
-4.99579983	0.00366222
-4.99569583	0.01052889
-4.99559183	0.00366222
-4.99548783	-0.00442518
-4.99538383	-0.00381481
-4.99527983	0.00930815
-4.99517583	0.00869778
-4.99507183	0.02349925
-4.99496783	0.02166814
-4.99486383	0.00610370
-4.99475983	0.00869778
-4.99465583	0.01861629
-4.99455183	0.02105777
-4.99444783	0.01480148
-4.99434383	0.00427259
-4.99423983	-0.00625629
-4.99413583	0.00305185
-4.99403183	0.00732444
-4.99392783	0.01541185
-4.99382383	0.00793481
-4.99371983	-0.00198370
-4.99361583	0.02609333
-4.99351183	0.00869778
-4.99340783	0.01739555
-4.99330383	0.00991852
-4.99319983	0.02410962
-4.99309583	0.02670370
-4.99299183	0.00793481
-4.99288783	-0.00564592
-4.99278383	0.02288888
-4.99267983	-0.01129185
-4.99257583	-0.01129185
-4.99247183	0.00549333
-4.99236783	-0.02685629
-4.99226383	0.01983703
-4.99215983	-0.00686667
-4.99205583	0.00991852
-4.99195183	-0.00137333
-4.99184783	0.01480148
-4.99174383	0.01739555
-4.99163983	0.00183111
-4.99153583	0.00122074
-4.99143183	0.02288888
-4.99132783	0.00305185
-4.99122383	0.01174963
-4.99111983	0.02288888
-4.99101583	0.00488296
-4.99091183	0.01236000
-4.99080783	0.00488296
-4.99070383	0.02731407
-4.99059983	0.02105777
-4.99049583	-0.01190222
-4.99039183	0.00366222
-4.99028783	-0.01678518
-4.99018383	0.02105777
-4.99007983	0.01602222
-4.98997583	0.00671407
-4.98987183	0.02609333
-4.98976783	0.01861629
-4.98966383	-0.00076296
-4.98955983	0.00671407
-4.98945583	-0.00564592
-4.98935183	0.00610370
-4.98924783	-0.00198370
-4.98914383	0.00000000
-4.98903983	0.02609333
-4.98893583	0.02166814
-4.98883183	0.02609333
-4.98872783	0.01052889
-4.98862383	0.00991852
-4.98851983	0.00244148
-4.98841583	-0.00747704
-4.98831183	0.00991852
-4.98820783	0.00061037
-4.98810383	0.00305185
-4.98799983	0.00793481
