Tempo	Canale A 
(us)	(mV) 
 
-50.01161324	179.99820000 
-50.00361324	180.83440000 
-49.99561324	178.78350000 
-49.98761324	179.69910000 
-49.97961324	180.38880000 
-49.97161324	179.79670000 
-49.96361324	179.40000000 
-49.95561324	179.54650000 
-49.94761324	179.74790000 
-49.93961324	180.24230000 
-49.93161324	179.52210000 
-49.92361324	179.77230000 
-49.91561324	180.04700000 
-49.90761324	179.74790000 
-49.89961324	180.29120000 
-49.89161324	180.26670000 
-49.88361324	179.60140000 
-49.87561324	179.27790000 
-49.86761324	178.65530000 
-49.85961324	180.04700000 
-49.85161324	179.89440000 
-49.84361324	179.84560000 
-49.83561324	179.72350000 
-49.82761324	179.60140000 
-49.81961324	179.77230000 
-49.81161324	180.26670000 
-49.80361324	179.42440000 
-49.79561324	179.54650000 
-49.78761324	179.87000000 
-49.77961324	180.29120000 
-49.77161324	179.72350000 
-49.76361324	179.52210000 
-49.75561324	179.87000000 
-49.74761325	179.44880000 
-49.73961325	180.21790000 
-49.73161325	179.91880000 
-49.72361325	179.91880000 
-49.71561325	179.15590000 
-49.70761325	179.77230000 
-49.69961325	180.02260000 
-49.69161325	179.42440000 
-49.68361325	179.69910000 
-49.67561325	179.22910000 
-49.66761325	179.62580000 
-49.65961325	179.60140000 
-49.65161325	179.77230000 
-49.64361325	179.72350000 
-49.63561325	179.89440000 
-49.62761325	178.93000000 
-49.61961325	179.84560000 
-49.61161325	179.37560000 
-49.60361325	179.79670000 
-49.59561325	179.35120000 
-49.58761325	179.52210000 
-49.57961325	180.04700000 
-49.57161325	179.65030000 
-49.56361325	180.09580000 
-49.55561325	179.65030000 
-49.54761325	179.25350000 
-49.53961325	179.69910000 
-49.53161325	180.49260000 
-49.52361325	179.54650000 
-49.51561325	179.65030000 
-49.50761325	179.52210000 
-49.49961325	180.04700000 
-49.49161325	179.74790000 
-49.48361325	179.20470000 
-49.47561325	179.82120000 
-49.46761325	179.25350000 
-49.45961325	180.09580000 
-49.45161325	179.60140000 
-49.44361325	179.67470000 
-49.43561325	179.87000000 
-49.42761325	180.07140000 
-49.41961325	179.67470000 
-49.41161325	180.38880000 
-49.40361325	180.04700000 
-49.39561326	179.37560000 
-49.38761326	179.84560000 
-49.37961326	179.89440000 
-49.37161326	179.72350000 
-49.36361326	180.44370000 
-49.35561326	180.38880000 
-49.34761326	180.54140000 
-49.33961326	179.49770000 
-49.33161326	179.89440000 
-49.32361326	180.68790000 
-49.31561326	179.87000000 
-49.30761326	179.74790000 
-49.29961326	180.14470000 
-49.29161326	180.09580000 
-49.28361326	179.15590000 
-49.27561326	180.19350000 
-49.26761326	179.84560000 
-49.25961326	179.07650000 
-49.25161326	178.80800000 
-49.24361326	179.69910000 
-49.23561326	180.76110000 
-49.22761326	180.16910000 
-49.21961326	180.31560000 
-49.21161326	180.12020000 
-49.20361326	179.37560000 
-49.19561326	179.96770000 
-49.18761326	179.57700000 
-49.17961326	179.84560000 
-49.17161326	179.22910000 
-49.16361326	179.15590000 
-49.15561326	178.75910000 
-49.14761326	180.38880000 
-49.13961326	180.73670000 
-49.13161326	179.10090000 
-49.12361326	179.62580000 
-49.11561326	180.68790000 
-49.10761326	180.16910000 
-49.09961326	178.50890000 
-49.09161326	179.35120000 
-49.08361326	180.36440000 
-49.07561326	179.52210000 
-49.06761326	179.22910000 
-49.05961326	179.87000000 
-49.05161326	179.94320000 
-49.04361327	179.37560000 
-49.03561327	179.18030000 
-49.02761327	180.09580000 
-49.01961327	180.63910000 
-49.01161327	179.54650000 
-49.00361327	179.07650000 
-48.99561327	180.02260000 
-48.98761327	179.74790000 
-48.97961327	179.37560000 
-48.97161327	180.12020000 
-48.96361327	179.89440000 
-48.95561327	179.69910000 
-48.94761327	179.52210000 
-48.93961327	179.57700000 
-48.93161327	180.14470000 
-48.92361327	179.52210000 
-48.91561327	180.12020000 
-48.90761327	179.42440000 
-48.89961327	179.52210000 
-48.89161327	179.13140000 
-48.88361327	178.93000000 
-48.87561327	179.25350000 
-48.86761327	180.12020000 
-48.85961327	179.27790000 
-48.85161327	179.69910000 
-48.84361327	180.14470000 
-48.83561327	179.77230000 
-48.82761327	179.69910000 
-48.81961327	180.24230000 
-48.81161327	180.51700000 
-48.80361327	179.77230000 
-48.79561327	179.32680000 
-48.78761327	179.94320000 
-48.77961327	180.31560000 
-48.77161327	179.72350000 
-48.76361327	179.30230000 
-48.75561327	179.65030000 
-48.74761327	179.65030000 
-48.73961327	179.67470000 
-48.73161327	179.35120000 
-48.72361327	179.60140000 
-48.71561327	179.74790000 
-48.70761327	179.18030000 
-48.69961327	179.22910000 
-48.69161328	180.31560000 
-48.68361328	180.49260000 
-48.67561328	179.77230000 
-48.66761328	180.07140000 
-48.65961328	179.84560000 
-48.65161328	180.14470000 
-48.64361328	179.62580000 
-48.63561328	179.77230000 
-48.62761328	179.91880000 
-48.61961328	180.36440000 
-48.61161328	179.82120000 
-48.60361328	179.69910000 
-48.59561328	179.89440000 
-48.58761328	179.87000000 
-48.57961328	179.27790000 
-48.57161328	180.41320000 
-48.56361328	180.78550000 
-48.55561328	179.89440000 
-48.54761328	179.40000000 
-48.53961328	180.44370000 
-48.53161328	179.54650000 
-48.52361328	180.31560000 
-48.51561328	179.22910000 
-48.50761328	179.30230000 
-48.49961328	179.91880000 
-48.49161328	178.80800000 
-48.48361328	180.24230000 
-48.47561328	179.87000000 
-48.46761328	179.15590000 
-48.45961328	180.24230000 
-48.45161328	180.14470000 
-48.44361328	179.37560000 
-48.43561328	179.65030000 
-48.42761328	178.58210000 
-48.41961328	180.68790000 
-48.41161328	180.19350000 
-48.40361328	179.32680000 
-48.39561328	179.74790000 
-48.38761328	179.37560000 
-48.37961328	179.72350000 
-48.37161328	179.25350000 
-48.36361328	179.35120000 
-48.35561328	180.04700000 
-48.34761328	179.22910000 
-48.33961328	179.13140000 
-48.33161329	180.26670000 
-48.32361329	179.94320000 
-48.31561329	179.89440000 
-48.30761329	180.16910000 
-48.29961329	180.07140000 
-48.29161329	179.67470000 
-48.28361329	179.54650000 
-48.27561329	179.62580000 
-48.26761329	179.89440000 
-48.25961329	179.27790000 
-48.25161329	179.96770000 
-48.24361329	179.49770000 
-48.23561329	180.07140000 
-48.22761329	179.65030000 
-48.21961329	180.12020000 
-48.21161329	179.52210000 
-48.20361329	178.90560000 
-48.19561329	179.72350000 
-48.18761329	179.89440000 
-48.17961329	180.56580000 
-48.17161329	180.02260000 
-48.16361329	179.89440000 
-48.15561329	179.84560000 
-48.14761329	180.09580000 
-48.13961329	178.65530000 
-48.13161329	178.80800000 
-48.12361329	179.74790000 
-48.11561329	179.60140000 
-48.10761329	179.27790000 
-48.09961329	179.87000000 
-48.09161329	180.09580000 
-48.08361329	179.67470000 
-48.07561329	180.16910000 
-48.06761329	179.67470000 
-48.05961329	180.04700000 
-48.05161329	179.69910000 
-48.04361329	179.84560000 
-48.03561329	180.07140000 
-48.02761329	179.77230000 
-48.01961329	179.62580000 
-48.01161329	179.18030000 
-48.00361329	179.42440000 
-47.99561329	180.04700000 
-47.98761329	179.15590000 
-47.97961330	179.37560000 
-47.97161330	179.60140000 
-47.96361330	179.42440000 
-47.95561330	180.09580000 
-47.94761330	179.49770000 
-47.93961330	179.77230000 
-47.93161330	180.41320000 
-47.92361330	179.30230000 
-47.91561330	179.54650000 
-47.90761330	179.72350000 
-47.89961330	179.49770000 
-47.89161330	179.77230000 
-47.88361330	179.35120000 
-47.87561330	179.52210000 
-47.86761330	180.02260000 
-47.85961330	179.47320000 
-47.85161330	179.82120000 
-47.84361330	180.63910000 
-47.83561330	180.26670000 
-47.82761330	179.52210000 
-47.81961330	179.22910000 
-47.81161330	179.69910000 
-47.80361330	179.60140000 
-47.79561330	179.40000000 
-47.78761330	179.82120000 
-47.77961330	179.69910000 
-47.77161330	179.44880000 
-47.76361330	180.71230000 
-47.75561330	179.27790000 
-47.74761330	179.79670000 
-47.73961330	179.35120000 
-47.73161330	179.74790000 
-47.72361330	179.60140000 
-47.71561330	179.57700000 
-47.70761330	179.49770000 
-47.69961330	180.07140000 
-47.69161330	179.69910000 
-47.68361330	179.87000000 
-47.67561330	179.65030000 
-47.66761330	179.69910000 
-47.65961330	179.89440000 
-47.65161330	179.35120000 
-47.64361330	179.77230000 
-47.63561330	180.02260000 
-47.62761331	179.60140000 
-47.61961331	179.87000000 
-47.61161331	179.57700000 
-47.60361331	179.96770000 
-47.59561331	179.27790000 
-47.58761331	179.91880000 
-47.57961331	179.44880000 
-47.57161331	180.04700000 
-47.56361331	180.04700000 
-47.55561331	179.67470000 
-47.54761331	179.96770000 
-47.53961331	179.27790000 
-47.53161331	180.49260000 
-47.52361331	180.09580000 
-47.51561331	179.07650000 
-47.50761331	179.79670000 
-47.49961331	179.91880000 
-47.49161331	180.61460000 
-47.48361331	179.42440000 
-47.47561331	179.54650000 
-47.46761331	180.21790000 
-47.45961331	179.99820000 
-47.45161331	179.44880000 
-47.44361331	179.96770000 
-47.43561331	179.44880000 
-47.42761331	180.29120000 
-47.41961331	179.62580000 
-47.41161331	179.94320000 
-47.40361331	179.82120000 
-47.39561331	180.51700000 
-47.38761331	179.89440000 
-47.37961331	179.77230000 
-47.37161331	179.91880000 
-47.36361331	180.29120000 
-47.35561331	179.47320000 
-47.34761331	180.36440000 
-47.33961331	179.30230000 
-47.33161331	180.44370000 
-47.32361331	179.07650000 
-47.31561331	179.30230000 
-47.30761331	179.69910000 
-47.29961331	180.29120000 
-47.29161331	180.09580000 
-47.28361331	179.87000000 
-47.27561332	179.79670000 
-47.26761332	179.52210000 
-47.25961332	180.34000000 
-47.25161332	179.54650000 
-47.24361332	179.72350000 
-47.23561332	179.35120000 
-47.22761332	179.87000000 
-47.21961332	180.44370000 
-47.21161332	179.91880000 
-47.20361332	179.96770000 
-47.19561332	179.40000000 
-47.18761332	179.77230000 
-47.17961332	179.87000000 
-47.17161332	179.40000000 
-47.16361332	179.00330000 
-47.15561332	180.16910000 
-47.14761332	179.30230000 
-47.13961332	179.94320000 
-47.13161332	179.74790000 
-47.12361332	179.35120000 
-47.11561332	179.91880000 
-47.10761332	179.22910000 
-47.09961332	179.69910000 
-47.09161332	179.72350000 
-47.08361332	179.60140000 
-47.07561332	179.27790000 
-47.06761332	179.15590000 
-47.05961332	179.47320000 
-47.05161332	179.47320000 
-47.04361332	179.57700000 
-47.03561332	179.67470000 
-47.02761332	179.94320000 
-47.01961332	179.57700000 
-47.01161332	179.57700000 
-47.00361332	179.89440000 
-46.99561332	180.07140000 
-46.98761332	179.27790000 
-46.97961332	179.22910000 
-46.97161332	179.77230000 
-46.96361332	179.49770000 
-46.95561332	180.71230000 
-46.94761332	179.72350000 
-46.93961332	178.93000000 
-46.93161332	179.77230000 
-46.92361333	179.77230000 
-46.91561333	180.04700000 
-46.90761333	180.59020000 
-46.89961333	179.74790000 
-46.89161333	179.35120000 
-46.88361333	179.87000000 
-46.87561333	179.82120000 
-46.86761333	180.19350000 
-46.85961333	179.47320000 
-46.85161333	179.54650000 
-46.84361333	179.89440000 
-46.83561333	179.89440000 
-46.82761333	179.54650000 
-46.81961333	179.42440000 
-46.81161333	179.52210000 
-46.80361333	179.87000000 
-46.79561333	180.14470000 
-46.78761333	179.84560000 
-46.77961333	179.35120000 
-46.77161333	179.27790000 
-46.76361333	179.62580000 
-46.75561333	179.87000000 
-46.74761333	179.77230000 
-46.73961333	179.96770000 
-46.73161333	179.62580000 
-46.72361333	179.27790000 
-46.71561333	179.69910000 
-46.70761333	180.46810000 
-46.69961333	178.93000000 
-46.69161333	179.02770000 
-46.68361333	180.46810000 
-46.67561333	179.35120000 
-46.66761333	179.94320000 
-46.65961333	179.40000000 
-46.65161333	179.27790000 
-46.64361333	180.49260000 
-46.63561333	179.49770000 
-46.62761333	180.09580000 
-46.61961333	180.02260000 
-46.61161333	179.77230000 
-46.60361333	179.65030000 
-46.59561333	179.65030000 
-46.58761333	179.18030000 
-46.57961333	180.24230000 
-46.57161333	179.42440000 
-46.56361334	179.67470000 
-46.55561334	180.07140000 
-46.54761334	179.35120000 
-46.53961334	179.62580000 
-46.53161334	180.38880000 
-46.52361334	179.65030000 
-46.51561334	179.84560000 
-46.50761334	179.27790000 
-46.49961334	179.84560000 
-46.49161334	180.34000000 
-46.48361334	179.20470000 
-46.47561334	179.57700000 
-46.46761334	179.62580000 
-46.45961334	179.42440000 
-46.45161334	180.61460000 
-46.44361334	179.15590000 
-46.43561334	179.82120000 
-46.42761334	180.04700000 
-46.41961334	179.20470000 
-46.41161334	179.27790000 
-46.40361334	179.79670000 
-46.39561334	179.82120000 
-46.38761334	179.49770000 
-46.37961334	179.67470000 
-46.37161334	179.52210000 
-46.36361334	180.16910000 
-46.35561334	179.25350000 
-46.34761334	179.96770000 
-46.33961334	179.74790000 
-46.33161334	179.60140000 
-46.32361334	179.79670000 
-46.31561334	179.49770000 
-46.30761334	179.84560000 
-46.29961334	179.99820000 
-46.29161334	179.20470000 
-46.28361334	179.62580000 
-46.27561334	179.49770000 
-46.26761334	179.69910000 
