Coordinata x       Coordinata y     Offset 
-28.7263    -86.6584    91.2955 
36.9853    -74.8858    83.5212 
45.1144    -64.5405    78.7451 
75.6588    17.1245    77.5725 
68.2281    31.8684    75.3038 
-67.6853    43.0669    80.225 
11.1556    -85.9675    86.6883 
81.7883    -3.9889    81.8855 
-76.1768    25.8942    80.4575 
47.2569    66.9591    81.9557 
-57.0863    -64.9775    86.4923 
32.044    64.2177    71.7686 
-79.6457    28.7426    84.6734 
56.369    -56.0373    79.4836 
60.7827    -49.3253    78.2785 
-54.5179    52.7848    75.8844 
3.8097    76.7214    76.816 
-66.9968    36.879    76.4763 
-10.7256    80.5341    81.2451 
30.8122    -74.3955    80.5238 
74.1633    15.4827    75.7622 
74.0759    -11.2348    74.923 
77.7305    -16.7444    79.5135 
-75.7629    15.9945    77.4328 
31.9773    -75.2745    81.7851 
-45.5144    -78.9525    91.1321 
36.5078    69.216    78.2539 
-63.3984    45.9009    78.2704 
70.4555    -43.9715    83.051 
-86.8935    7.1962    87.191 
-43.5859    -75.7699    87.4117 
-51.5832    -64.9558    82.9463 
-55.0117    49.8747    74.2548 
72.9649    -4.0635    73.078 
-10.9847    -88.7566    89.4337 
-2.3484    70.8111    70.8501 
76.1377    14.3398    77.4763 
-69.9698    -48.5697    85.1751 
62.3723    -51.3338    80.7804 
5.3231    76.4314    76.6165 
-50.9185    53.2854    73.7023 
