Coordinata x       Coordinata y     Offset 
-33    -34    47.3814 
-6    46    46.3897 
21    25    32.6497 
23    26    34.7131 
-42    -35    54.6717 
-25    -45    51.4782 
34    38    50.9902 
17    -36    39.8121 
5    39    39.3192 
-20    -51    54.7814 
-21    39    44.2945 
41    5    41.3038 
44    -4    44.1814 
-37    -42    55.9732 
25    -43    49.7393 
18    39    42.9535 
-48    -6    48.3735 
23    -37    43.566 
17    -45    48.1041 
30    28    41.0366 
37    -21    42.5441 
1    35    35.0143 
28    33    43.2782 
38    -27    46.6154 
-36    31    47.5079 
-33    26    42.0119 
-8    47    47.676 
-21    25    32.6497 
33    24    40.8044 
-49    4    49.163 
-47    1    47.0106 
-20    -48    52 
16    -48    50.5964 
-52    -9    52.7731 
-27    25    36.7967 
3    -45    45.0999 
-33    22    39.6611 
9    -48    48.8365 
21    -46    50.5668 
10    38    39.2938 
9    -55    55.7315 
0    43    43 
-47    -22    51.8941 
27    30    40.3609 
-37    20    42.0595 
38    15    40.8534 
42    -9    42.9535 
39    -31    49.8197 
30    9    31.3209 
10    41    42.2019 
-45    -35    57.0088 
30    -37    47.634 
1    -61    61.0082 
54    1    54.0093 
-4    -43    43.1856 
21    28    35 
