Coordinata x       Coordinata y     Offset 
-33    -82    88.3912 
41    -77    87.2353 
42    -61    74.0608 
79    16    80.604 
67    35    75.591 
-72    39    81.8841 
18    -84    85.9069 
78    -1    78.0064 
-69    16    70.8308 
42    64    76.5506 
-56    -70    89.6437 
30    65    71.5891 
-75    30    80.7775 
55    -55    77.7817 
58    -43    72.2011 
-50    54    73.5935 
1    76    76.0066 
-72    40    82.365 
-8    73    73.437 
27    -74    78.7718 
67    17    69.1231 
73    -11    73.8241 
81    -12    81.8841 
-79    22    82.0061 
31    -75    81.1542 
-52    -85    99.6444 
41    65    76.8505 
-65    41    76.8505 
71    -46    84.5991 
-87    6    87.2067 
-49    -71    86.267 
-54    -61    81.4678 
-57    52    77.1557 
74    1    74.0068 
-8    -97    97.3293 
0    62    62 
73    13    74.1485 
-65    -45    79.0569 
55    -57    79.2086 
9    75    75.5381 
-48    52    70.7672 
