Numero segnale     Temperatura valutata 
1    3.5813 
2    3.484 
3    3.4874 
4    3.5255 
5    3.487 
6    3.6643 
7    3.4957 
8    3.4358 
9    3.5731 
10    3.5274 
11    3.5111 
12    3.4617 
13    3.4983 
14    3.5216 
15    3.5677 
16    3.5496 
17    3.65 
18    3.5439 
19    3.5217 
20    3.4999 
