Numero segnale     Temperatura valutata 
1    4.954 
2    4.4287 
3    4.4947 
4    4.5136 
5    4.4325 
6    5.882 
7    4.4067 
8    4.0364 
9    4.7089 
10    4.6393 
11    4.3885 
12    4.2826 
13    4.3336 
14    4.5454 
15    4.7833 
16    4.746 
17    5.7171 
18    4.6623 
19    4.6789 
20    4.7038 
