Numero segnale     Temperatura valutata 
1    3.3986 
2    3.3552 
3    3.3487 
4    3.3688 
5    3.3576 
6    3.44 
7    3.3617 
8    3.3306 
9    3.4006 
10    3.3687 
11    3.377 
12    3.3454 
13    3.3803 
14    3.3842 
15    3.3894 
16    3.3805 
17    3.4122 
18    3.3717 
19    3.3742 
20    3.3453 
