Numero segnale     Temperatura valutata 
1    3.3271 
2    3.2678 
3    3.2783 
4    3.2962 
5    3.2947 
6    3.3563 
7    3.3011 
8    3.2864 
9    3.3398 
10    3.3094 
11    3.3337 
12    3.2754 
13    3.3077 
14    3.3273 
15    3.3126 
16    3.3031 
17    3.3565 
18    3.3167 
19    3.3112 
20    3.2863 
