Numero segnale     Temperatura valutata 
1    4.6471 
2    4.2024 
3    4.2567 
4    4.2736 
5    4.2047 
6    5.4285 
7    4.1868 
8    3.8789 
9    4.4393 
10    4.3773 
11    4.1751 
12    4.0808 
13    4.1307 
14    4.3055 
15    4.4974 
16    4.4763 
17    5.2878 
18    4.399 
19    4.4136 
20    4.4288 
