Numero segnale     Temperatura valutata 
1    3.4219 
2    3.3821 
3    3.3756 
4    3.3948 
5    3.3844 
6    3.4615 
7    3.3873 
8    3.359 
9    3.4237 
10    3.394 
11    3.4023 
12    3.3725 
13    3.406 
14    3.4089 
15    3.413 
16    3.4031 
17    3.4328 
18    3.3978 
19    3.3981 
20    3.3708 
