Numero segnale     Temperatura valutata 
1    3.9369 
2    3.9209 
3    3.918 
4    3.9277 
5    3.9244 
6    3.9621 
7    3.9296 
8    3.9158 
9    3.9408 
10    3.9261 
11    3.9352 
12    3.9169 
13    3.9422 
14    3.9316 
15    3.9316 
16    3.9239 
17    3.9356 
18    3.9323 
19    3.9266 
20    3.9115 
