Numero segnale     Temperatura valutata 
1    3.3574 
2    3.2992 
3    3.2893 
4    3.3114 
5    3.3001 
6    3.4075 
7    3.3061 
8    3.2647 
9    3.3532 
10    3.3143 
11    3.321 
12    3.2869 
13    3.3246 
14    3.3401 
15    3.3439 
16    3.3416 
17    3.3873 
18    3.3155 
19    3.3281 
20    3.2869 
