Nu1     A1      Nu3     A3 
17298.3117    1264.1871     51944.9302    1.4968      
17548.2873    1087.3379     52744.8521    1.7411      
17148.3263    1016.5984     51594.9643    1.9111      
17448.297    1211.4265     52394.8863    1.1945      
17448.297    1167.1583     52444.8814    1.8097      
17348.3068    1229.6595     52094.9155    1.4462      
17398.3019    1156.3547     52194.9058    1.1596      
17448.297    1041.1956     52344.8911    2.0312      
