Nu1     A1      Nu3     A3 
17349.3615    704.2397     53098.046    2.6197      
17150.2332    916.7978     51050.6943    0.70147      
17250.2346    838.4288     51850.7052    0.54394      
17200.2339    955.6891     51650.7024    0.44      
17200.2339    1016.4074     50850.6916    0.29073      
17250.2346    981.4324     51100.695    0.51736      
17200.2339    944.277     52600.7154    0.58465      
17050.2319    803.6914     52050.7079    0.69184      
17150.2332    842.7994     51800.7045    0.56652      
