Nu1     A1      Nu3     A3 
17560.045    1877.3052     52840.1353    5.7055      
17680.0453    1680.011     53160.1361    6.7125      
17520.0449    1784.231     52680.1349    5.445      
17840.0457    1955.5453     53680.1374    4.909      
17560.045    1856.2887     52880.1354    5.6137      
17800.0456    1828.8617     53560.1371    6.0056      
17720.0454    1903.3307     53320.1365    4.7731      
17600.0451    1663.9227     52840.1353    4.9713      
17400.0445    1608.9016     52400.1341    6.8699      
17480.0447    1569.4195     52520.1345    7.0561      
