Nu1     A1      Nu3     A3 
17300    920.6051     53100    1.0946      
17350    971.5091     53100    1.4658      
17200    1182.1991     51350    0.26102      
17450    903.7738     53100    1.0658      
17350    889.2535     52050    0.70341      
17150    1041.2753     50700    0.81825      
17150    1081.5442     50650    0.58319      
17350    940.2084     53100    1.7907      
17200    1126.0605     50900    0.55438      
17050    997.442     51200    0.90759      
17400    1116.4488     53100    1.05      
