Tempo	Canale A 
(us)	(mV) 
 
-50.01389943	179.40610000 
-50.00589943	179.43050000 
-49.99789943	179.85170000 
-49.98989943	179.72960000 
-49.98189943	179.77840000 
-49.97389943	179.43050000 
-49.96589943	180.27280000 
-49.95789943	180.24840000 
-49.94989943	180.34610000 
-49.94189943	179.70520000 
-49.93389943	179.60140000 
-49.92589943	179.33290000 
-49.91789943	179.97380000 
-49.90989943	180.02260000 
-49.90189943	179.92490000 
-49.89389943	179.82730000 
-49.88589943	180.24840000 
-49.87789943	179.72960000 
-49.86989943	180.84050000 
-49.86189943	180.59630000 
-49.85389943	179.72960000 
-49.84589943	179.72960000 
-49.83789943	180.24840000 
-49.82989943	179.77840000 
-49.82189943	179.77840000 
-49.81389943	179.30840000 
-49.80589943	180.04700000 
-49.79789943	180.15080000 
-49.78989943	179.38170000 
-49.78189943	179.00940000 
-49.77389943	179.33290000 
-49.76589943	179.90050000 
-49.75789943	179.99820000 
-49.74989943	179.85170000 
-49.74189943	180.27280000 
-49.73389943	179.82730000 
-49.72589943	179.22910000 
-49.71789944	179.47940000 
-49.70989944	180.09580000 
-49.70189944	179.18030000 
-49.69389944	179.92490000 
-49.68589944	179.55260000 
-49.67789944	180.19960000 
-49.66989944	180.51700000 
-49.66189944	179.35730000 
-49.65389944	179.43050000 
-49.64589944	179.55260000 
-49.63789944	180.04700000 
-49.62989944	179.75400000 
-49.62189944	180.17520000 
-49.61389944	180.54750000 
-49.60589944	180.19960000 
-49.59789944	179.08260000 
-49.58989944	180.22400000 
-49.58189944	179.47940000 
-49.57389944	180.37050000 
-49.56589944	179.25960000 
-49.55789944	179.94930000 
-49.54989944	179.72960000 
-49.54189944	179.20470000 
-49.53389944	180.49260000 
-49.52589944	179.90050000 
-49.51789944	180.19960000 
-49.50989944	179.60140000 
-49.50189944	179.33290000 
-49.49389944	179.77840000 
-49.48589944	179.65030000 
-49.47789944	179.85170000 
-49.46989944	179.20470000 
-49.46189944	180.15080000 
-49.45389944	179.87610000 
-49.44589944	179.18030000 
-49.43789944	179.94930000 
-49.42989944	180.02260000 
-49.42189944	179.52820000 
-49.41389944	180.17520000 
-49.40589944	180.59630000 
-49.39789944	179.50380000 
-49.38989944	179.52820000 
-49.38189944	180.37050000 
-49.37389944	179.45490000 
-49.36589945	180.27280000 
-49.35789945	180.15080000 
-49.34989945	178.96050000 
-49.34189945	180.09580000 
-49.33389945	179.77840000 
-49.32589945	180.62070000 
-49.31789945	180.02260000 
-49.30989945	179.68080000 
-49.30189945	179.90050000 
-49.29389945	179.94930000 
-49.28589945	180.39490000 
-49.27789945	179.52820000 
-49.26989945	180.51700000 
-49.26189945	179.62580000 
-49.25389945	180.41930000 
-49.24589945	179.80290000 
-49.23789945	179.82730000 
-49.22989945	180.29720000 
-49.22189945	179.75400000 
-49.21389945	179.70520000 
-49.20589945	179.80290000 
-49.19789945	179.18030000 
-49.18989945	179.85170000 
-49.18189945	179.87610000 
-49.17389945	179.85170000 
-49.16589945	179.85170000 
-49.15789945	179.33290000 
-49.14989945	179.57700000 
-49.14189945	180.29720000 
-49.13389945	179.65030000 
-49.12589945	179.70520000 
-49.11789945	179.50380000 
-49.10989945	179.87610000 
-49.10189945	180.32170000 
-49.09389945	179.47940000 
-49.08589945	179.62580000 
-49.07789945	179.70520000 
-49.06989945	179.68080000 
-49.06189945	180.07140000 
-49.05389945	178.78350000 
-49.04589945	179.90050000 
-49.03789945	179.68080000 
-49.02989945	179.65030000 
-49.02189945	179.55260000 
-49.01389945	179.90050000 
-49.00589946	180.02260000 
-48.99789946	180.07140000 
-48.98989946	179.85170000 
-48.98189946	180.62070000 
-48.97389946	179.00940000 
-48.96589946	179.80290000 
-48.95789946	180.17520000 
-48.94989946	179.25960000 
-48.94189946	179.70520000 
-48.93389946	180.09580000 
-48.92589946	179.35730000 
-48.91789946	179.99820000 
-48.90989946	180.44370000 
-48.90189946	180.02260000 
-48.89389946	179.85170000 
-48.88589946	179.57700000 
-48.87789946	180.04700000 
-48.86989946	180.15080000 
-48.86189946	179.45490000 
-48.85389946	180.29720000 
-48.84589946	179.30840000 
-48.83789946	179.87610000 
-48.82989946	179.97380000 
-48.82189946	179.60140000 
-48.81389946	179.47940000 
-48.80589946	179.92490000 
-48.79789946	179.55260000 
-48.78989946	179.68080000 
-48.78189946	180.66960000 
-48.77389946	179.18030000 
-48.76589946	179.30840000 
-48.75789946	180.09580000 
-48.74989946	180.19960000 
-48.74189946	180.12630000 
-48.73389946	179.55260000 
-48.72589946	180.69400000 
-48.71789946	179.55260000 
-48.70989946	179.75400000 
-48.70189946	180.27280000 
-48.69389946	179.57700000 
-48.68589946	179.55260000 
-48.67789946	180.19960000 
-48.66989946	180.32170000 
-48.66189946	179.75400000 
-48.65389947	179.25960000 
-48.64589947	179.62580000 
-48.63789947	180.32170000 
-48.62989947	179.99820000 
-48.62189947	179.94930000 
-48.61389947	179.68080000 
-48.60589947	179.77840000 
-48.59789947	180.29720000 
-48.58989947	179.72960000 
-48.58189947	179.99820000 
-48.57389947	180.74280000 
-48.56589947	179.47940000 
-48.55789947	179.72960000 
-48.54989947	179.03380000 
-48.54189947	181.21280000 
-48.53389947	179.43050000 
-48.52589947	179.68080000 
-48.51789947	179.13140000 
-48.50989947	180.09580000 
-48.50189947	179.52820000 
-48.49389947	180.09580000 
-48.48589947	179.87610000 
-48.47789947	180.02260000 
-48.46989947	180.09580000 
-48.46189947	178.96050000 
-48.45389947	180.19960000 
-48.44589947	178.83850000 
-48.43789947	179.08260000 
-48.42989947	179.47940000 
-48.42189947	180.46810000 
-48.41389947	179.75400000 
-48.40589947	179.87610000 
-48.39789947	180.04700000 
-48.38989947	180.22400000 
-48.38189947	179.68080000 
-48.37389947	179.52820000 
-48.36589947	179.50380000 
-48.35789947	179.57700000 
-48.34989947	179.92490000 
-48.34189947	178.88730000 
-48.33389947	179.68080000 
-48.32589947	180.19960000 
-48.31789947	179.97380000 
-48.30989947	179.77840000 
-48.30189948	179.77840000 
-48.29389948	180.51700000 
-48.28589948	179.82730000 
-48.27789948	179.35730000 
-48.26989948	179.52820000 
-48.26189948	179.92490000 
-48.25389948	179.55260000 
-48.24589948	180.62070000 
-48.23789948	179.90050000 
-48.22989948	179.57700000 
-48.22189948	179.57700000 
-48.21389948	180.39490000 
-48.20589948	179.87610000 
-48.19789948	180.32170000 
-48.18989948	179.50380000 
-48.18189948	179.38170000 
-48.17389948	180.19960000 
-48.16589948	180.34610000 
-48.15789948	179.87610000 
-48.14989948	179.22910000 
-48.14189948	181.16400000 
-48.13389948	180.59630000 
-48.12589948	179.25960000 
-48.11789948	179.97380000 
-48.10989948	179.03380000 
-48.10189948	178.39290000 
-48.09389948	179.77840000 
-48.08589948	180.41930000 
-48.07789948	179.22910000 
-48.06989948	179.62580000 
-48.06189948	180.57190000 
-48.05389948	179.85170000 
-48.04589948	179.68080000 
-48.03789948	179.92490000 
-48.02989948	179.92490000 
-48.02189948	180.07140000 
-48.01389948	179.68080000 
-48.00589948	179.65030000 
-47.99789948	179.90050000 
-47.98989948	179.22910000 
-47.98189948	180.07140000 
-47.97389948	178.71030000 
-47.96589948	180.64520000 
-47.95789948	179.33290000 
-47.94989949	179.99820000 
-47.94189949	179.60140000 
-47.93389949	179.50380000 
-47.92589949	180.81610000 
-47.91789949	179.30840000 
-47.90989949	180.12630000 
-47.90189949	179.65030000 
-47.89389949	179.00940000 
-47.88589949	178.98490000 
-47.87789949	180.37050000 
-47.86989949	180.15080000 
-47.86189949	179.80290000 
-47.85389949	180.32170000 
-47.84589949	179.72960000 
-47.83789949	179.87610000 
-47.82989949	179.62580000 
-47.82189949	179.92490000 
-47.81389949	180.39490000 
-47.80589949	179.00940000 
-47.79789949	180.22400000 
-47.78989949	179.70520000 
-47.78189949	179.85170000 
-47.77389949	180.09580000 
-47.76589949	180.09580000 
-47.75789949	180.02260000 
-47.74989949	180.74280000 
-47.74189949	179.68080000 
-47.73389949	179.99820000 
-47.72589949	179.65030000 
-47.71789949	180.37050000 
-47.70989949	179.82730000 
-47.70189949	179.18030000 
-47.69389949	179.85170000 
-47.68589949	179.35730000 
-47.67789949	179.20470000 
-47.66989949	180.22400000 
-47.66189949	179.80290000 
-47.65389949	180.04700000 
-47.64589949	180.09580000 
-47.63789949	179.90050000 
-47.62989949	180.19960000 
-47.62189949	180.37050000 
-47.61389949	179.90050000 
-47.60589949	180.62070000 
-47.59789950	180.15080000 
-47.58989950	178.49060000 
-47.58189950	180.41930000 
-47.57389950	179.80290000 
-47.56589950	179.85170000 
-47.55789950	179.47940000 
-47.54989950	179.47940000 
-47.54189950	180.04700000 
-47.53389950	179.92490000 
-47.52589950	179.72960000 
-47.51789950	179.82730000 
-47.50989950	180.17520000 
-47.50189950	179.85170000 
-47.49389950	179.25960000 
-47.48589950	180.17520000 
-47.47789950	181.21280000 
-47.46989950	179.60140000 
-47.46189950	179.00940000 
-47.45389950	179.35730000 
-47.44589950	179.75400000 
-47.43789950	179.60140000 
-47.42989950	179.05820000 
-47.42189950	179.99820000 
-47.41389950	180.79170000 
-47.40589950	179.33290000 
-47.39789950	179.62580000 
-47.38989950	179.99820000 
-47.38189950	179.35730000 
-47.37389950	179.85170000 
-47.36589950	179.55260000 
-47.35789950	179.77840000 
-47.34989950	180.24840000 
-47.34189950	179.40610000 
-47.33389950	179.20470000 
-47.32589950	180.29720000 
-47.31789950	179.92490000 
-47.30989950	180.07140000 
-47.30189950	179.85170000 
-47.29389950	180.12630000 
-47.28589950	180.19960000 
-47.27789950	179.33290000 
-47.26989950	179.99820000 
-47.26189950	179.10700000 
-47.25389950	179.94930000 
-47.24589950	180.34610000 
-47.23789951	179.43050000 
-47.22989951	179.45490000 
-47.22189951	179.85170000 
-47.21389951	179.82730000 
-47.20589951	179.77840000 
-47.19789951	180.46810000 
-47.18989951	179.60140000 
-47.18189951	179.22910000 
-47.17389951	179.57700000 
-47.16589951	180.04700000 
-47.15789951	179.35730000 
-47.14989951	179.85170000 
-47.14189951	179.47940000 
-47.13389951	180.09580000 
-47.12589951	179.10700000 
-47.11789951	180.27280000 
-47.10989951	179.22910000 
-47.10189951	180.04700000 
-47.09389951	179.68080000 
-47.08589951	179.43050000 
-47.07789951	180.12630000 
-47.06989951	179.28400000 
-47.06189951	179.99820000 
-47.05389951	179.62580000 
-47.04589951	180.99310000 
-47.03789951	179.62580000 
-47.02989951	179.33290000 
-47.02189951	179.57700000 
-47.01389951	179.40610000 
-47.00589951	179.68080000 
-46.99789951	179.65030000 
-46.98989951	179.30840000 
-46.98189951	179.60140000 
-46.97389951	179.94930000 
-46.96589951	179.82730000 
-46.95789951	179.30840000 
-46.94989951	179.80290000 
-46.94189951	179.80290000 
-46.93389951	180.17520000 
-46.92589951	179.87610000 
-46.91789951	179.92490000 
-46.90989951	179.28400000 
-46.90189951	180.41930000 
-46.89389951	180.69400000 
-46.88589952	180.44370000 
-46.87789952	179.77840000 
-46.86989952	179.94930000 
-46.86189952	179.75400000 
-46.85389952	179.70520000 
-46.84589952	179.57700000 
-46.83789952	179.43050000 
-46.82989952	180.39490000 
-46.82189952	179.30840000 
-46.81389952	179.70520000 
-46.80589952	180.22400000 
-46.79789952	180.19960000 
-46.78989952	179.75400000 
-46.78189952	179.55260000 
-46.77389952	180.27280000 
-46.76589952	179.77840000 
-46.75789952	180.22400000 
-46.74989952	179.68080000 
-46.74189952	179.62580000 
-46.73389952	179.87610000 
-46.72589952	179.99820000 
-46.71789952	180.04700000 
-46.70989952	180.34610000 
-46.70189952	179.25960000 
-46.69389952	179.10700000 
-46.68589952	179.57700000 
-46.67789952	179.80290000 
-46.66989952	179.60140000 
-46.66189952	179.72960000 
-46.65389952	179.92490000 
-46.64589952	179.90050000 
-46.63789952	179.97380000 
-46.62989952	179.55260000 
-46.62189952	180.39490000 
-46.61389952	179.43050000 
-46.60589952	179.43050000 
-46.59789952	179.20470000 
-46.58989952	180.15080000 
-46.58189952	180.46810000 
-46.57389952	180.07140000 
-46.56589952	179.62580000 
-46.55789952	179.87610000 
-46.54989952	180.15080000 
-46.54189952	179.55260000 
-46.53389953	180.32170000 
-46.52589953	178.75910000 
-46.51789953	179.92490000 
-46.50989953	180.39490000 
-46.50189953	180.27280000 
-46.49389953	179.38170000 
-46.48589953	180.24840000 
-46.47789953	179.97380000 
-46.46989953	179.92490000 
-46.46189953	179.33290000 
-46.45389953	179.97380000 
-46.44589953	179.99820000 
-46.43789953	180.02260000 
-46.42989953	179.38170000 
-46.42189953	179.85170000 
-46.41389953	180.29720000 
-46.40589953	179.60140000 
-46.39789953	179.47940000 
-46.38989953	180.19960000 
-46.38189953	180.09580000 
-46.37389953	180.29720000 
-46.36589953	180.02260000 
-46.35789953	180.24840000 
-46.34989953	179.87610000 
-46.34189953	179.97380000 
-46.33389953	179.87610000 
-46.32589953	180.39490000 
-46.31789953	180.17520000 
-46.30989953	179.50380000 
-46.30189953	179.18030000 
-46.29389953	179.97380000 
-46.28589953	179.82730000 
-46.27789953	179.90050000 
-46.26989953	179.65030000 
