Tempo (us) 	 Tensione (V)


-100.030317	-0.001672
-100.014317	0.000067
-99.998317	-0.003046
-99.982317	-0.003168
-99.966317	0.000189
-99.950317	-0.000421
-99.934317	0.002051
-99.918317	-0.001184
-99.902317	0.000067
-99.886317	0.000189
-99.870317	-0.000421
-99.854317	0.003668
-99.838317	0.002417
-99.822317	-0.000543
-99.806317	-0.000909
-99.790317	0.002173
-99.774317	-0.000177
-99.758317	0.001074
-99.742317	-0.003534
-99.726317	-0.003412
-99.710317	-0.004267
-99.694317	-0.003534
-99.678317	0.000067
-99.662317	-0.003534
-99.646317	-0.001672
-99.630317	-0.002283
-99.614317	-0.004877
-99.598317	-0.001550
-99.582317	-0.001062
-99.566317	-0.002527
-99.550317	0.000067
-99.534317	-0.000177
-99.518317	-0.003046
-99.502317	-0.002405
-99.486317	-0.000421
-99.470317	-0.000543
-99.454317	-0.003290
-99.438317	-0.002283
-99.422317	-0.004511
-99.406317	-0.001184
-99.390317	-0.001306
-99.374317	0.000067
-99.358317	0.000677
-99.342317	-0.000909
-99.326317	-0.001672
-99.310317	-0.003290
-99.294317	-0.000299
-99.278317	-0.003778
-99.262317	-0.002771
-99.246317	0.001074
-99.230317	-0.000543
-99.214317	-0.000299
-99.198317	-0.000909
-99.182317	-0.000299
-99.166317	-0.000299
-99.150317	0.000067
-99.134317	-0.002649
-99.118317	-0.000665
-99.102317	-0.001062
-99.086317	-0.003290
-99.070317	-0.000543
-99.054317	-0.000909
-99.038317	-0.000543
-99.022317	-0.000055
-99.006317	-0.001062
-98.990317	-0.002527
-98.974317	-0.002893
-98.958317	-0.000421
-98.942317	0.001562
-98.926317	-0.002527
-98.910317	-0.000299
-98.894317	-0.000787
-98.878317	0.000952
-98.862317	-0.003046
-98.846317	-0.001550
-98.830317	-0.000909
-98.814317	0.000952
-98.798317	-0.001672
-98.782317	-0.002039
-98.766317	-0.000177
-98.750317	-0.000543
-98.734317	-0.002649
-98.718317	-0.000543
-98.702317	-0.000177
-98.686317	0.000311
-98.670317	-0.000909
-98.654317	-0.001672
-98.638317	-0.001672
-98.622317	-0.001550
-98.606317	-0.003656
-98.590317	-0.005396
-98.574317	-0.002039
-98.558317	-0.002771
-98.542317	-0.003168
-98.526317	-0.001550
-98.510317	-0.001184
-98.494317	-0.000055
-98.478317	-0.001550
-98.462317	-0.001062
-98.446317	-0.002649
-98.430317	-0.003168
-98.414317	-0.002283
-98.398317	-0.002039
-98.382317	-0.004389
-98.366317	-0.002039
-98.350317	-0.000787
-98.334317	-0.002161
-98.318317	-0.001184
-98.302317	-0.001550
-98.286317	-0.003778
-98.270317	-0.002161
-98.254317	0.003058
-98.238317	-0.003290
-98.222317	-0.004144
-98.206317	0.000311
-98.190317	0.000677
-98.174317	-0.000543
-98.158317	-0.004022
-98.142317	-0.002161
-98.126317	-0.000543
-98.110317	-0.000421
-98.094317	-0.004389
-98.078317	-0.001795
-98.062317	-0.001184
-98.046317	-0.002283
-98.030317	0.002783
-98.014317	-0.002527
-97.998317	-0.002649
-97.982317	0.001929
-97.966317	-0.002161
-97.950317	-0.002039
-97.934317	0.000311
-97.918317	0.002051
-97.902317	-0.000665
