Tempo (us) 	 Tensione (V)


-100.024786	-0.001795
-100.008786	-0.000055
-99.992786	-0.003534
-99.976786	-0.003412
-99.960786	-0.000665
-99.944786	-0.002893
-99.928786	-0.003656
-99.912786	-0.001550
-99.896786	0.001196
-99.880786	-0.004144
-99.864786	-0.004755
-99.848786	-0.003046
-99.832786	-0.001428
-99.816786	-0.003290
-99.800786	0.001685
-99.784786	-0.000543
-99.768786	-0.001672
-99.752786	-0.002649
-99.736786	-0.000421
-99.720786	-0.000543
-99.704786	-0.001184
-99.688786	-0.001917
-99.672786	-0.005518
-99.656786	-0.003412
-99.640786	-0.004144
-99.624786	0.000189
-99.608786	0.000189
-99.592786	-0.000299
-99.576786	-0.000177
-99.560786	-0.001062
-99.544786	0.000189
-99.528786	-0.001062
-99.512786	-0.001672
-99.496786	-0.001795
-99.480786	-0.004022
-99.464786	-0.002649
-99.448786	-0.004144
-99.432786	0.000311
-99.416786	-0.002771
-99.400786	-0.001795
-99.384786	-0.000177
-99.368786	-0.001550
-99.352786	-0.002039
-99.336786	-0.001184
-99.320786	-0.002771
-99.304786	-0.000055
-99.288786	-0.000787
-99.272786	-0.002039
-99.256786	-0.002893
-99.240786	0.001440
-99.224786	-0.002649
-99.208786	-0.000543
-99.192786	0.000067
-99.176786	-0.000787
-99.160786	0.001318
-99.144786	0.000067
-99.128786	-0.002649
-99.112786	0.000677
-99.096786	-0.003900
-99.080786	-0.002649
-99.064786	0.000555
-99.048786	-0.000909
-99.032786	-0.000299
-99.016786	0.000189
-99.000786	-0.001428
-98.984786	0.000189
-98.968786	-0.001306
-98.952786	0.001685
-98.936786	0.000800
-98.920786	-0.000177
-98.904786	-0.000055
-98.888786	-0.000665
-98.872786	-0.000787
-98.856786	0.000189
-98.840786	-0.002039
-98.824786	0.000189
-98.808786	-0.001062
-98.792786	-0.000787
-98.776786	0.000433
-98.760786	-0.001795
-98.744786	-0.001306
-98.728786	-0.000299
-98.712786	-0.000177
-98.696786	-0.003046
-98.680786	-0.001917
-98.664786	0.000067
-98.648786	-0.001306
-98.632786	-0.003290
-98.616786	-0.000055
-98.600786	-0.002649
-98.584786	0.002539
-98.568786	-0.002649
-98.552786	0.001929
-98.536786	0.001685
-98.520786	-0.002283
-98.504786	-0.002283
-98.488786	-0.001550
-98.472786	-0.002771
-98.456786	0.000555
-98.440786	0.001685
-98.424786	-0.003778
-98.408786	-0.001428
-98.392786	-0.002283
-98.376786	-0.000177
-98.360786	-0.000543
-98.344786	0.001318
-98.328786	-0.003168
-98.312786	0.000555
-98.296786	0.000800
-98.280786	-0.002161
-98.264786	0.002783
-98.248786	-0.000299
-98.232786	-0.001062
-98.216786	-0.003656
-98.200786	0.000433
-98.184786	0.000800
-98.168786	0.000677
-98.152786	-0.001306
-98.136786	-0.003534
-98.120786	-0.000787
-98.104786	0.000433
-98.088786	-0.001428
-98.072786	-0.001917
-98.056786	-0.001062
-98.040786	-0.002405
-98.024786	0.000189
-98.008786	-0.000543
-97.992786	-0.002161
-97.976786	-0.006006
-97.960786	-0.001795
-97.944786	0.000555
-97.928786	-0.002649
-97.912786	-0.001428
-97.896786	-0.000421
-97.880786	-0.002649
