Tempo (us) 	 Tensione (V)


-100.026315	-0.000665
-100.010315	-0.001184
-99.994315	0.002173
-99.978315	-0.003046
-99.962315	-0.002405
-99.946315	0.000800
-99.930315	-0.001306
-99.914315	-0.001184
-99.898315	0.000311
-99.882315	-0.001306
-99.866315	-0.001428
-99.850315	-0.001428
-99.834315	-0.003412
-99.818315	0.000311
-99.802315	0.001807
-99.786315	-0.002771
-99.770315	-0.000177
-99.754315	0.002936
-99.738315	-0.004389
-99.722315	-0.002649
-99.706315	-0.001550
-99.690315	-0.002527
-99.674315	-0.002771
-99.658315	0.000555
-99.642315	-0.002649
-99.626315	-0.002405
-99.610315	0.000952
-99.594315	-0.001184
-99.578315	-0.002161
-99.562315	-0.001184
-99.546315	-0.001917
-99.530315	-0.002527
-99.514315	0.000311
-99.498315	0.001318
-99.482315	-0.002283
-99.466315	-0.002405
-99.450315	0.002783
-99.434315	-0.001184
-99.418315	-0.004022
-99.402315	-0.000665
-99.386315	0.001440
-99.370315	-0.002771
-99.354315	0.001440
-99.338315	-0.002893
-99.322315	0.000677
-99.306315	-0.001428
-99.290315	-0.002039
-99.274315	-0.001672
-99.258315	-0.000909
-99.242315	0.001562
-99.226315	-0.003656
-99.210315	-0.001917
-99.194315	-0.000299
-99.178315	-0.001550
-99.162315	-0.001062
-99.146315	0.000952
-99.130315	-0.003778
-99.114315	-0.001428
-99.098315	-0.000421
-99.082315	-0.002649
-99.066315	-0.001550
-99.050315	-0.002161
-99.034315	-0.000909
-99.018315	-0.001672
-99.002315	0.002417
-98.986315	-0.000299
-98.970315	0.000555
-98.954315	0.000067
-98.938315	0.001318
-98.922315	-0.003656
-98.906315	0.000800
-98.890315	0.000433
-98.874315	-0.000177
-98.858315	-0.000543
-98.842315	-0.002893
-98.826315	-0.000055
-98.810315	-0.002161
-98.794315	-0.003046
-98.778315	-0.001795
-98.762315	-0.000177
-98.746315	-0.001917
-98.730315	-0.002283
-98.714315	-0.001306
-98.698315	0.001440
-98.682315	-0.000421
-98.666315	-0.001306
-98.650315	-0.005396
-98.634315	-0.002283
-98.618315	-0.003778
-98.602315	0.000311
-98.586315	-0.002649
-98.570315	-0.000665
-98.554315	-0.004267
-98.538315	0.000067
-98.522315	-0.003534
-98.506315	-0.002283
-98.490315	0.000067
-98.474315	-0.002527
-98.458315	-0.001062
-98.442315	-0.001672
-98.426315	-0.001795
-98.410315	-0.000299
-98.394315	-0.001672
-98.378315	-0.000177
-98.362315	-0.003656
-98.346315	-0.005274
-98.330315	0.000067
-98.314315	-0.002527
-98.298315	0.001685
-98.282315	0.000555
-98.266315	0.000555
-98.250315	-0.000055
-98.234315	-0.002161
-98.218315	-0.001184
-98.202315	-0.003046
-98.186315	-0.002161
-98.170315	-0.000055
-98.154315	0.000311
-98.138315	0.000189
-98.122315	-0.003412
-98.106315	-0.001917
-98.090315	-0.001428
-98.074315	-0.003656
-98.058315	-0.001917
-98.042315	-0.001672
-98.026315	-0.004267
-98.010315	0.001685
-97.994315	-0.001550
-97.978315	-0.000177
-97.962315	0.001440
-97.946315	-0.002527
-97.930315	0.002417
-97.914315	-0.004389
-97.898315	-0.001184
-97.882315	-0.001550
