Tempo (us) 	 Tensione (V)


-100.029009	-0.000421
-100.013009	0.000189
-99.997009	0.000555
-99.981009	-0.001550
-99.965009	-0.003168
-99.949009	-0.000909
-99.933009	-0.001306
-99.917009	0.001318
-99.901009	-0.000787
-99.885009	0.001440
-99.869009	-0.000055
-99.853009	-0.001428
-99.837009	-0.001917
-99.821009	0.000433
-99.805009	-0.002649
-99.789009	-0.004144
-99.773009	0.000433
-99.757009	-0.004511
-99.741009	-0.003900
-99.725009	0.002295
-99.709009	-0.000909
-99.693009	-0.000909
-99.677009	-0.002405
-99.661009	-0.001917
-99.645009	-0.000665
-99.629009	-0.002039
-99.613009	0.003180
-99.597009	-0.000299
-99.581009	-0.001428
-99.565009	-0.000055
-99.549009	-0.000787
-99.533009	-0.000177
-99.517009	0.000555
-99.501009	-0.002161
-99.485009	-0.000665
-99.469009	-0.003168
-99.453009	-0.002527
-99.437009	-0.003656
-99.421009	0.000067
-99.405009	0.000677
-99.389009	0.001196
-99.373009	-0.000665
-99.357009	-0.003778
-99.341009	-0.001672
-99.325009	-0.002649
-99.309009	0.002051
-99.293009	-0.000787
-99.277009	0.000433
-99.261009	0.000952
-99.245009	0.001318
-99.229009	-0.002893
-99.213009	0.000800
-99.197009	-0.001672
-99.181009	-0.002039
-99.165009	-0.001672
-99.149009	-0.000665
-99.133009	0.000433
-99.117009	-0.001306
-99.101009	-0.002771
-99.085009	-0.002405
-99.069009	-0.001062
-99.053009	-0.001062
-99.037009	-0.001428
-99.021009	-0.002283
-99.005009	-0.000665
-98.989009	0.000067
-98.973009	-0.002649
-98.957009	-0.003290
-98.941009	-0.001062
-98.925009	0.002295
-98.909009	0.000677
-98.893009	0.000189
-98.877009	-0.002039
-98.861009	0.001196
-98.845009	-0.000177
-98.829009	0.000800
-98.813009	-0.001062
-98.797009	-0.001672
-98.781009	-0.002405
-98.765009	-0.001428
-98.749009	0.000952
-98.733009	-0.002771
-98.717009	-0.001428
-98.701009	-0.001062
-98.685009	-0.002039
-98.669009	-0.001428
-98.653009	0.001074
-98.637009	-0.003168
-98.621009	0.000067
-98.605009	-0.001550
-98.589009	-0.000421
-98.573009	-0.002161
-98.557009	-0.001550
-98.541009	-0.001917
-98.525009	-0.001917
-98.509009	-0.000665
-98.493009	-0.000543
-98.477009	-0.001184
-98.461009	0.001929
-98.445009	-0.000787
-98.429009	-0.001184
-98.413009	-0.001672
-98.397009	0.001196
-98.381009	0.000677
-98.365009	0.000555
-98.349009	0.001318
-98.333009	-0.000787
-98.317009	-0.000177
-98.301009	-0.001062
-98.285009	-0.001306
-98.269009	-0.000665
-98.253009	0.002051
-98.237009	-0.002893
-98.221009	-0.002405
-98.205009	-0.001672
-98.189009	-0.001795
-98.173009	-0.000055
-98.157009	-0.001672
-98.141009	-0.004633
-98.125009	-0.001917
-98.109009	0.000189
-98.093009	0.000433
-98.077009	-0.000177
-98.061009	-0.001550
-98.045009	0.000800
-98.029009	0.001440
-98.013009	-0.003900
-97.997009	-0.000543
-97.981009	-0.003412
-97.965009	0.001318
-97.949009	-0.002161
-97.933009	-0.002527
-97.917009	-0.003778
-97.901009	0.001318
-97.885009	-0.003656
