Tempo (us) 	 Tensione (V)


-100.019665	-0.001672
-100.003665	-0.003412
-99.987665	-0.001306
-99.971665	-0.000909
-99.955665	-0.002649
-99.939665	-0.001672
-99.923665	-0.002649
-99.907665	-0.001550
-99.891665	-0.000543
-99.875665	-0.002771
-99.859665	-0.001306
-99.843665	-0.003412
-99.827665	-0.003534
-99.811665	-0.001184
-99.795665	-0.001550
-99.779665	-0.001550
-99.763665	0.000311
-99.747665	0.000433
-99.731665	-0.002893
-99.715665	-0.000665
-99.699665	0.000800
-99.683665	-0.001795
-99.667665	-0.001184
-99.651665	-0.002771
-99.635665	0.000433
-99.619665	-0.000299
-99.603665	0.000952
-99.587665	-0.000299
-99.571665	-0.003046
-99.555665	-0.000787
-99.539665	-0.003168
-99.523665	-0.000665
-99.507665	-0.000787
-99.491665	0.001196
-99.475665	-0.001062
-99.459665	0.001562
-99.443665	-0.002405
-99.427665	-0.000665
-99.411665	-0.000421
-99.395665	-0.003778
-99.379665	0.001929
-99.363665	-0.002527
-99.347665	-0.000177
-99.331665	-0.004144
-99.315665	-0.003412
-99.299665	-0.000665
-99.283665	0.000555
-99.267665	-0.001062
-99.251665	-0.001672
-99.235665	-0.000177
-99.219665	-0.000665
-99.203665	-0.001184
-99.187665	-0.002405
-99.171665	-0.003168
-99.155665	-0.004877
-99.139665	-0.001672
-99.123665	-0.000543
-99.107665	-0.003290
-99.091665	0.000555
-99.075665	-0.003046
-99.059665	-0.006006
-99.043665	0.000067
-99.027665	0.002539
-99.011665	-0.001062
-98.995665	-0.001917
-98.979665	-0.004511
-98.963665	-0.004511
-98.947665	-0.000055
-98.931665	-0.001672
-98.915665	0.000189
-98.899665	-0.000177
-98.883665	0.000433
-98.867665	-0.004755
-98.851665	-0.002039
-98.835665	-0.001306
-98.819665	0.001440
-98.803665	-0.002649
-98.787665	-0.002893
-98.771665	-0.003168
-98.755665	0.003668
-98.739665	-0.001672
-98.723665	-0.000543
-98.707665	-0.003534
-98.691665	-0.003046
-98.675665	-0.000787
-98.659665	-0.002283
-98.643665	-0.001672
-98.627665	-0.001550
-98.611665	0.000952
-98.595665	-0.001550
-98.579665	-0.002771
-98.563665	0.000800
-98.547665	0.000800
-98.531665	-0.004633
-98.515665	-0.004267
-98.499665	-0.000543
-98.483665	-0.004755
-98.467665	0.000067
-98.451665	0.000433
-98.435665	-0.001184
-98.419665	-0.000665
-98.403665	-0.001062
-98.387665	-0.002527
-98.371665	-0.003900
-98.355665	0.000067
-98.339665	-0.000421
-98.323665	-0.000177
-98.307665	-0.002649
-98.291665	0.001318
-98.275665	-0.002649
-98.259665	-0.004389
-98.243665	-0.001184
-98.227665	-0.000177
-98.211665	-0.001795
-98.195665	-0.002649
-98.179665	0.000067
-98.163665	-0.003168
-98.147665	-0.003534
-98.131665	-0.004144
-98.115665	-0.003412
-98.099665	-0.002039
-98.083665	-0.003168
-98.067665	-0.002649
-98.051665	-0.000299
-98.035665	-0.001062
-98.019665	0.000800
-98.003665	0.001196
-97.987665	0.003058
-97.971665	-0.002893
-97.955665	-0.003046
-97.939665	0.000189
-97.923665	-0.000665
-97.907665	-0.003412
-97.891665	0.001074
-97.875665	-0.001550
