Tempo (us) 	 Tensione (V)


-100.017580	-0.000787
-100.001580	0.000311
-99.985580	-0.001428
-99.969580	-0.002771
-99.953580	-0.002161
-99.937580	-0.000787
-99.921580	0.001807
-99.905580	0.001440
-99.889580	-0.002283
-99.873580	-0.001795
-99.857580	0.002539
-99.841580	0.004920
-99.825580	-0.001550
-99.809580	-0.000543
-99.793580	0.000189
-99.777580	0.001929
-99.761580	-0.004633
-99.745580	-0.001672
-99.729580	0.002295
-99.713580	-0.002283
-99.697580	-0.001550
-99.681580	-0.002771
-99.665580	-0.002405
-99.649580	0.000311
-99.633580	0.001318
-99.617580	-0.002283
-99.601580	-0.002893
-99.585580	-0.000177
-99.569580	-0.000909
-99.553580	-0.000177
-99.537580	-0.001795
-99.521580	0.001318
-99.505580	0.000067
-99.489580	-0.001428
-99.473580	0.001685
-99.457580	-0.001184
-99.441580	0.000311
-99.425580	-0.000909
-99.409580	0.002173
-99.393580	-0.000421
-99.377580	-0.001062
-99.361580	0.001440
-99.345580	-0.001306
-99.329580	-0.004755
-99.313580	0.000800
-99.297580	-0.000177
-99.281580	-0.003290
-99.265580	-0.002405
-99.249580	0.000555
-99.233580	-0.001062
-99.217580	-0.000299
-99.201580	-0.000665
-99.185580	-0.000665
-99.169580	-0.000665
-99.153580	0.001196
-99.137580	0.000067
-99.121580	-0.000421
-99.105580	-0.002771
-99.089580	-0.006891
-99.073580	0.002661
-99.057580	-0.000421
-99.041580	0.001074
-99.025580	0.000555
-99.009580	0.000433
-98.993580	0.000555
-98.977580	-0.003778
-98.961580	0.001074
-98.945580	-0.000177
-98.929580	-0.000299
-98.913580	0.000677
-98.897580	-0.000787
-98.881580	-0.002039
-98.865580	-0.001306
-98.849580	0.001685
-98.833580	-0.001428
-98.817580	-0.001428
-98.801580	0.000800
-98.785580	0.002936
-98.769580	0.001196
-98.753580	-0.001550
-98.737580	-0.003046
-98.721580	-0.003290
-98.705580	-0.002161
-98.689580	-0.000787
-98.673580	-0.001062
-98.657580	0.001318
-98.641580	-0.000909
-98.625580	-0.000787
-98.609580	-0.001795
-98.593580	0.001074
-98.577580	-0.001306
-98.561580	-0.000909
-98.545580	-0.004389
-98.529580	-0.000665
-98.513580	-0.000177
-98.497580	0.000189
-98.481580	0.002783
-98.465580	-0.000665
-98.449580	0.000800
-98.433580	-0.003412
-98.417580	0.002173
-98.401580	-0.001306
-98.385580	-0.003534
-98.369580	0.000677
-98.353580	-0.000909
-98.337580	0.000433
-98.321580	-0.000177
-98.305580	-0.000665
-98.289580	0.001318
-98.273580	-0.001795
-98.257580	-0.002161
-98.241580	-0.001306
-98.225580	-0.001306
-98.209580	-0.000177
-98.193580	-0.003412
-98.177580	-0.003290
-98.161580	-0.001428
-98.145580	0.000189
-98.129580	-0.004633
-98.113580	-0.002893
-98.097580	0.002051
-98.081580	-0.000787
-98.065580	-0.001062
-98.049580	-0.000299
-98.033580	-0.003534
-98.017580	-0.001062
-98.001580	-0.001672
-97.985580	-0.000665
-97.969580	-0.000665
-97.953580	-0.001184
-97.937580	0.000067
-97.921580	-0.000909
-97.905580	-0.001550
-97.889580	-0.001184
-97.873580	-0.002771
-97.857580	-0.000177
