Tempo (us) 	 Tensione (V)


-100.022906	-0.003412
-100.006906	0.000677
-99.990906	0.000952
-99.974906	-0.001306
-99.958906	-0.002649
-99.942906	-0.001428
-99.926906	0.000555
-99.910906	-0.001550
-99.894906	-0.002283
-99.878906	-0.004755
-99.862906	-0.003290
-99.846906	-0.004144
-99.830906	-0.002405
-99.814906	-0.002649
-99.798906	-0.006891
-99.782906	-0.001550
-99.766906	-0.001672
-99.750906	-0.000665
-99.734906	-0.001184
-99.718906	-0.000543
-99.702906	0.000189
-99.686906	-0.000543
-99.670906	-0.000543
-99.654906	-0.000787
-99.638906	-0.001428
-99.622906	-0.000543
-99.606906	-0.002039
-99.590906	-0.001428
-99.574906	-0.002039
-99.558906	-0.002405
-99.542906	-0.000177
-99.526906	-0.002405
-99.510906	-0.000177
-99.494906	-0.003656
-99.478906	-0.001062
-99.462906	-0.001550
-99.446906	-0.003046
-99.430906	-0.002771
-99.414906	0.001440
-99.398906	-0.002649
-99.382906	-0.004633
-99.366906	-0.003290
-99.350906	-0.000543
-99.334906	-0.000543
-99.318906	-0.000543
-99.302906	-0.004267
-99.286906	-0.000665
-99.270906	-0.001795
-99.254906	-0.000909
-99.238906	0.000189
-99.222906	0.003302
-99.206906	-0.001184
-99.190906	0.001318
-99.174906	-0.003412
-99.158906	-0.001550
-99.142906	-0.003046
-99.126906	-0.002649
-99.110906	-0.000909
-99.094906	0.000067
-99.078906	0.000189
-99.062906	-0.001550
-99.046906	0.003180
-99.030906	-0.000543
-99.014906	0.000952
-98.998906	-0.001917
-98.982906	0.001562
-98.966906	-0.000909
-98.950906	-0.000299
-98.934906	-0.001306
-98.918906	-0.001917
-98.902906	-0.000055
-98.886906	-0.000421
-98.870906	0.000189
-98.854906	0.001074
-98.838906	-0.001550
-98.822906	-0.002527
-98.806906	-0.000177
-98.790906	-0.002283
-98.774906	-0.002771
-98.758906	-0.003290
-98.742906	-0.000909
-98.726906	-0.000665
-98.710906	-0.001184
-98.694906	-0.001428
-98.678906	0.001685
-98.662906	0.002295
-98.646906	-0.002161
-98.630906	-0.003168
-98.614906	-0.000055
-98.598906	-0.000299
-98.582906	-0.000543
-98.566906	-0.000421
-98.550906	-0.001184
-98.534906	-0.001062
-98.518906	-0.000299
-98.502906	-0.001917
-98.486906	-0.003656
-98.470906	-0.002893
-98.454906	0.001074
-98.438906	0.000311
-98.422906	-0.000055
-98.406906	-0.000909
-98.390906	-0.002527
-98.374906	-0.004022
-98.358906	-0.004755
-98.342906	0.001807
-98.326906	-0.002161
-98.310906	-0.000299
-98.294906	-0.004511
-98.278906	-0.005518
-98.262906	-0.001306
-98.246906	0.001440
-98.230906	-0.002161
-98.214906	-0.001062
-98.198906	-0.001550
-98.182906	-0.001062
-98.166906	-0.003290
-98.150906	-0.005152
-98.134906	-0.001795
-98.118906	-0.003046
-98.102906	-0.002405
-98.086906	-0.002405
-98.070906	-0.001062
-98.054906	-0.003656
-98.038906	-0.000299
-98.022906	-0.000543
-98.006906	-0.002771
-97.990906	-0.000055
-97.974906	-0.001917
-97.958906	-0.002039
-97.942906	-0.000177
-97.926906	-0.002283
-97.910906	-0.001795
-97.894906	-0.001428
