Tempo (us) 	 Tensione (V)


-100.017040	-0.001550
-100.001040	-0.000299
-99.985040	-0.002893
-99.969040	0.000555
-99.953040	-0.000909
-99.937040	0.000433
-99.921040	-0.001917
-99.905040	-0.001306
-99.889040	-0.001917
-99.873040	-0.001184
-99.857040	0.001074
-99.841040	0.000800
-99.825040	0.002295
-99.809040	-0.001917
-99.793040	0.000800
-99.777040	-0.000665
-99.761040	-0.000543
-99.745040	-0.001917
-99.729040	0.000433
-99.713040	-0.001062
-99.697040	-0.002649
-99.681040	-0.001428
-99.665040	-0.000299
-99.649040	0.002173
-99.633040	-0.001795
-99.617040	-0.000299
-99.601040	0.003546
-99.585040	-0.000543
-99.569040	-0.002405
-99.553040	-0.002039
-99.537040	-0.001184
-99.521040	0.003668
-99.505040	0.001562
-99.489040	0.000311
-99.473040	0.001196
-99.457040	-0.000665
-99.441040	0.000311
-99.425040	0.001318
-99.409040	-0.003534
-99.393040	0.000067
-99.377040	-0.001184
-99.361040	-0.001550
-99.345040	-0.001428
-99.329040	0.002417
-99.313040	-0.001917
-99.297040	-0.001917
-99.281040	0.000433
-99.265040	-0.003656
-99.249040	-0.003412
-99.233040	-0.000787
-99.217040	-0.002161
-99.201040	-0.000665
-99.185040	0.000189
-99.169040	-0.001550
-99.153040	0.000311
-99.137040	-0.002283
-99.121040	-0.001062
-99.105040	-0.002527
-99.089040	-0.002405
-99.073040	-0.001428
-99.057040	-0.001428
-99.041040	-0.000543
-99.025040	-0.001917
-99.009040	-0.001428
-98.993040	0.001440
-98.977040	-0.001550
-98.961040	-0.002283
-98.945040	-0.000299
-98.929040	0.000433
-98.913040	-0.001306
-98.897040	0.000952
-98.881040	0.000067
-98.865040	-0.001795
-98.849040	-0.003534
-98.833040	-0.004389
-98.817040	0.000677
-98.801040	-0.000177
-98.785040	-0.002771
-98.769040	0.000433
-98.753040	-0.003290
-98.737040	0.000311
-98.721040	-0.001184
-98.705040	-0.004389
-98.689040	-0.000299
-98.673040	0.001807
-98.657040	-0.002527
-98.641040	-0.005762
-98.625040	-0.001306
-98.609040	-0.000665
-98.593040	-0.001795
-98.577040	-0.000299
-98.561040	0.000189
-98.545040	-0.000177
-98.529040	-0.000787
-98.513040	-0.001428
-98.497040	-0.000421
-98.481040	-0.002405
-98.465040	-0.004267
-98.449040	-0.000909
-98.433040	-0.003656
-98.417040	-0.003412
-98.401040	-0.001184
-98.385040	-0.001795
-98.369040	0.000189
-98.353040	0.001562
-98.337040	-0.001306
-98.321040	0.000800
-98.305040	-0.001672
-98.289040	-0.001306
-98.273040	0.001562
-98.257040	0.001074
-98.241040	-0.000055
-98.225040	-0.001306
-98.209040	0.000677
-98.193040	-0.001428
-98.177040	-0.001917
-98.161040	-0.004022
-98.145040	-0.000787
-98.129040	0.000189
-98.113040	0.000189
-98.097040	-0.001306
-98.081040	0.003058
-98.065040	-0.002771
-98.049040	-0.002039
-98.033040	0.000800
-98.017040	-0.003168
-98.001040	-0.001184
-97.985040	0.001318
-97.969040	-0.003656
-97.953040	-0.001550
-97.937040	0.000555
-97.921040	-0.001184
-97.905040	0.000555
-97.889040	-0.000787
-97.873040	0.002051
-97.857040	0.003180
