Tempo (us) 	 Tensione (V)


-100.027686	-0.000909
-100.011686	-0.001306
-99.995686	-0.000299
-99.979686	0.001440
-99.963686	0.000555
-99.947686	-0.002771
-99.931686	0.000067
-99.915686	-0.001306
-99.899686	0.002417
-99.883686	-0.002771
-99.867686	-0.001306
-99.851686	-0.000299
-99.835686	-0.001917
-99.819686	0.001929
-99.803686	-0.001672
-99.787686	-0.003290
-99.771686	-0.000421
-99.755686	-0.002893
-99.739686	-0.000665
-99.723686	-0.000665
-99.707686	-0.000909
-99.691686	-0.000055
-99.675686	-0.003900
-99.659686	0.000800
-99.643686	-0.000299
-99.627686	0.000433
-99.611686	-0.000299
-99.595686	-0.002893
-99.579686	0.001196
-99.563686	-0.001428
-99.547686	-0.003168
-99.531686	0.003546
-99.515686	-0.001672
-99.499686	-0.001184
-99.483686	-0.002527
-99.467686	-0.003046
-99.451686	-0.001917
-99.435686	-0.000909
-99.419686	0.003668
-99.403686	-0.002527
-99.387686	0.002051
-99.371686	-0.000909
-99.355686	-0.001062
-99.339686	-0.003168
-99.323686	-0.000421
-99.307686	-0.004633
-99.291686	-0.000055
-99.275686	0.000952
-99.259686	-0.000787
-99.243686	-0.000421
-99.227686	-0.000055
-99.211686	-0.001795
-99.195686	-0.002039
-99.179686	-0.000665
-99.163686	-0.002893
-99.147686	0.000555
-99.131686	-0.000055
-99.115686	0.000189
-99.099686	0.000952
-99.083686	-0.002893
-99.067686	0.000067
-99.051686	0.001074
-99.035686	0.002936
-99.019686	-0.001062
-99.003686	0.000433
-98.987686	0.000952
-98.971686	0.001196
-98.955686	-0.001917
-98.939686	-0.000787
-98.923686	-0.000543
-98.907686	0.001440
-98.891686	0.002051
-98.875686	-0.001795
-98.859686	0.001196
-98.843686	-0.001062
-98.827686	-0.000909
-98.811686	0.000677
-98.795686	-0.004267
-98.779686	0.001318
-98.763686	0.000433
-98.747686	0.000433
-98.731686	0.000952
-98.715686	0.000800
-98.699686	-0.001550
-98.683686	0.000952
-98.667686	-0.000299
-98.651686	-0.000421
-98.635686	-0.002893
-98.619686	0.000677
-98.603686	-0.004511
-98.587686	-0.001062
-98.571686	-0.002771
-98.555686	-0.002527
-98.539686	-0.000421
-98.523686	-0.000421
-98.507686	-0.002527
-98.491686	-0.002161
-98.475686	0.001807
-98.459686	0.000067
-98.443686	-0.000665
-98.427686	-0.000909
-98.411686	-0.000421
-98.395686	-0.005152
-98.379686	-0.000665
-98.363686	-0.001306
-98.347686	-0.002039
-98.331686	-0.002283
-98.315686	-0.002039
-98.299686	0.002051
-98.283686	0.001196
-98.267686	-0.002527
-98.251686	-0.000543
-98.235686	-0.002283
-98.219686	-0.003046
-98.203686	-0.001550
-98.187686	0.001440
-98.171686	-0.002649
-98.155686	0.000311
-98.139686	-0.003046
-98.123686	-0.001428
-98.107686	-0.000421
-98.091686	-0.003656
-98.075686	-0.001550
-98.059686	-0.003168
-98.043686	-0.002039
-98.027686	-0.000787
-98.011686	-0.001672
-97.995686	-0.004389
-97.979686	-0.001917
-97.963686	-0.003046
-97.947686	-0.003900
-97.931686	0.001074
-97.915686	-0.000421
-97.899686	-0.001306
-97.883686	-0.002161
