Tempo (us) 	 Tensione (V)
-95.667520	-0.002649
-95.651520	-0.001062
-95.635520	-0.001795
-95.619520	0.001440
-95.603520	-0.001917
-95.587520	0.000189
-95.571520	0.001074
-95.555520	-0.001062
-95.539520	0.001807
-95.523520	-0.000787
-95.507520	0.000189
-95.491520	-0.000543
-95.475520	0.003180
-95.459520	-0.001428
-95.443520	-0.003046
-95.427520	0.001440
-95.411520	-0.000421
-95.395520	-0.001062
-95.379520	-0.001184
-95.363520	-0.003778
-95.347520	0.001807
-95.331520	-0.000055
-95.315520	0.001074
-95.299520	-0.001062
-95.283520	0.001685
-95.267520	-0.001550
-95.251520	-0.001550
-95.235520	-0.000665
-95.219520	0.001562
-95.203520	-0.000665
-95.187520	0.001929
-95.171520	0.000555
-95.155520	-0.000177
-95.139520	0.000311
-95.123520	-0.001550
-95.107520	0.001440
-95.091520	-0.002405
-95.075520	-0.000421
-95.059520	-0.001428
-95.043520	-0.001917
-95.027520	-0.003290
-95.011520	0.000067
-94.995520	-0.001062
-94.979520	0.001685
-94.963520	-0.001184
-94.947520	-0.001428
-94.931520	-0.003778
-94.915520	-0.001184
-94.899520	-0.003168
-94.883520	0.000952
-94.867520	0.002417
-94.851520	-0.001184
-94.835520	-0.000909
-94.819520	-0.004144
-94.803520	0.001929
-94.787520	-0.000177
-94.771520	-0.004267
-94.755520	-0.001672
-94.739520	-0.000177
-94.723520	0.001318
-94.707520	-0.003900
-94.691520	-0.002405
-94.675520	-0.000177
-94.659520	0.002539
-94.643520	0.000952
-94.627520	-0.002649
-94.611520	0.001929
-94.595520	-0.000299
-94.579520	-0.002893
-94.563520	-0.002893
-94.547520	-0.002893
-94.531520	0.000952
-94.515520	-0.000665
-94.499520	-0.003412
-94.483520	0.001685
-94.467520	0.003668
-94.451520	-0.001550
-94.435520	-0.002527
-94.419520	0.001196
-94.403520	-0.002161
-94.387520	-0.000787
-94.371520	-0.001184
-94.355520	-0.000299
-94.339520	0.001318
-94.323520	-0.000543
-94.307520	-0.001917
-94.291520	-0.001550
-94.275520	-0.001428
-94.259520	-0.001672
-94.243520	-0.001062
-94.227520	-0.000909
-94.211520	0.001074
-94.195520	-0.004633
-94.179520	0.001196
-94.163520	0.001074
-94.147520	-0.001550
-94.131520	-0.000055
-94.115520	-0.002771
-94.099520	-0.000787
-94.083520	-0.002649
-94.067520	0.001685
-94.051520	-0.002161
-94.035520	0.000677
-94.019520	0.000952
-94.003520	-0.001306
-93.987520	-0.001795
-93.971520	-0.000665
-93.955520	-0.000909
-93.939520	-0.001795
-93.923520	-0.001550
-93.907520	-0.000421
-93.891520	-0.000299
-93.875520	-0.000055
-93.859520	-0.002161
-93.843520	-0.000543
-93.827520	-0.000543
-93.811520	-0.001917
-93.795520	-0.001672
-93.779520	0.001929
-93.763520	-0.001184
-93.747520	-0.002893
-93.731520	-0.000421
-93.715520	-0.002649
-93.699520	-0.004022
-93.683520	-0.000421
-93.667520	-0.001672
-93.651520	-0.002893
-93.635520	-0.001550
-93.619520	0.001440
-93.603520	-0.001184
-93.587520	0.003424
-93.571520	-0.001672
-93.555520	-0.000177
-93.539520	-0.002039
-93.523520	-0.000421
-93.507520	-0.003290
-93.491520	-0.002039
-93.475520	-0.003778
-93.459520	-0.001795
-93.443520	-0.000543
-93.427520	-0.005396
-93.411520	-0.002161
-93.395520	-0.001917
-93.379520	-0.000787
-93.363520	0.001807
-93.347520	0.000311
-93.331520	-0.000909
-93.315520	-0.003168
-93.299520	-0.001306
-93.283520	0.001318
-93.267520	-0.000299
-93.251520	0.001074
-93.235520	0.000952
-93.219520	-0.001306
-93.203520	0.001685
-93.187520	-0.000055
-93.171520	-0.000299
-93.155520	-0.001795
-93.139520	-0.002649
-93.123520	0.000189
-93.107520	-0.001795
-93.091520	0.000311
-93.075520	-0.004633
-93.059520	0.001074
-93.043520	-0.000421
-93.027520	-0.000055
-93.011520	-0.001795
-92.995520	-0.002649
-92.979520	-0.000177
-92.963520	-0.003290
-92.947520	0.002295
-92.931520	-0.002771
-92.915520	-0.002649
-92.899520	-0.002283
-92.883520	0.000067
-92.867520	-0.001672
-92.851520	-0.003412
-92.835520	0.001074
-92.819520	-0.000543
-92.803520	-0.001672
-92.787520	-0.000665
-92.771520	-0.001184
-92.755520	0.001196
-92.739520	0.001196
-92.723520	-0.001306
-92.707520	-0.000055
-92.691520	-0.005640
-92.675520	0.000311
-92.659520	-0.000665
-92.643520	-0.000909
-92.627520	-0.001550
-92.611520	-0.001184
-92.595520	-0.001672
-92.579520	-0.001795
-92.563520	-0.003290
-92.547520	-0.002283
-92.531520	-0.000543
-92.515520	-0.001672
-92.499520	0.000800
-92.483520	-0.003412
-92.467520	-0.002527
-92.451520	0.002936
-92.435520	-0.002649
-92.419520	0.000433
-92.403520	-0.004267
-92.387520	0.001196
-92.371520	0.001562
-92.355520	-0.002405
-92.339520	-0.003168
-92.323520	-0.000543
-92.307520	0.000555
-92.291520	-0.002893
-92.275520	0.000952
-92.259520	0.000800
-92.243520	0.001685
-92.227520	0.000067
-92.211520	-0.000299
-92.195520	-0.001795
-92.179520	-0.002283
-92.163520	-0.001428
-92.147520	-0.002161
-92.131520	0.000067
-92.115520	0.004645
-92.099520	-0.001428
-92.083520	0.000189
-92.067520	-0.001795
-92.051520	0.002661
-92.035520	-0.004755
-92.019520	-0.001306
-92.003520	-0.000665
-91.987520	0.001440
-91.971520	-0.002161
-91.955520	-0.002161
-91.939520	-0.001428
-91.923520	-0.002893
-91.907520	-0.002527
-91.891520	-0.005518
-91.875520	0.001440
-91.859520	0.000952
-91.843520	-0.002649
-91.827520	-0.000299
-91.811520	0.000677
-91.795520	-0.000421
-91.779520	-0.000299
-91.763520	-0.002771
-91.747520	0.002295
-91.731520	-0.002527
-91.715520	0.000067
-91.699520	-0.001062
-91.683520	-0.001795
-91.667520	-0.001550
-91.651520	0.000311
-91.635520	-0.000543
-91.619520	-0.000299
-91.603520	0.001562
-91.587520	-0.003290
-91.571520	-0.000543
-91.555520	-0.001428
-91.539520	-0.001184
-91.523521	-0.002283
-91.507520	0.000067
-91.491520	-0.002039
-91.475521	-0.001795
-91.459520	-0.000787
-91.443521	-0.000421
-91.427520	0.000433
-91.411520	0.001318
-91.395521	0.000800
-91.379520	0.000067
-91.363521	-0.001428
-91.347521	-0.000665
-91.331520	-0.003656
-91.315521	-0.000177
-91.299520	-0.000665
-91.283520	-0.002283
-91.267521	-0.000055
-91.251520	-0.000299
-91.235521	0.000189
-91.219521	0.000311
-91.203520	-0.003168
-91.187521	-0.000909
-91.171521	-0.000909
-91.155521	-0.000909
-91.139521	-0.000055
-91.123521	-0.001428
-91.107521	-0.000055
-91.091521	0.000677
-91.075521	0.002661
-91.059521	-0.000421
-91.043521	0.001196
